#Tail	Head	PosReg	NegReg	ID
None	http://pathwaycommons.org/pc2/Protein_4255b0c26eafb6e0c1c153ef8eadce1b;http://pathwaycommons.org/pc2/Protein_76274451cc3d50ee63c258a03fff86a6;http://pathwaycommons.org/pc2/Protein_d11f69497334159038e105a40243b4cc;http://pathwaycommons.org/pc2/Protein_d49a986fe4cdf4946d112411860411d4;http://pathwaycommons.org/pc2/Protein_e02d45eefd86e43135faeb01a39b1426	http://pathwaycommons.org/pc2/Complex_d1fa79b8636946cc14af15c290c3740f	None	http://identifiers.org/reactome/R-HSA-1008220
http://identifiers.org/reactome/R-HSA-1028812	http://pathwaycommons.org/pc2/Protein_acacb761f6c6e7381c507ac29bb29d51	None	None	http://identifiers.org/reactome/R-HSA-1028812
http://identifiers.org/reactome/R-HSA-1629787	http://pathwaycommons.org/pc2/Protein_e9ee3fd70f6513024fe7dfaf88105801	None	None	http://identifiers.org/reactome/R-HSA-1629787
http://identifiers.org/reactome/R-HSA-163669	http://pathwaycommons.org/pc2/Protein_2abbfebc40eb765311bb2389960d3238	None	None	http://identifiers.org/reactome/R-HSA-163669
http://identifiers.org/reactome/R-HSA-163733	http://pathwaycommons.org/pc2/Protein_08a2012656c8f97781c23cdce8e40dc3	None	None	http://identifiers.org/reactome/R-HSA-163733
http://identifiers.org/reactome/R-HSA-163743	http://pathwaycommons.org/pc2/Protein_a96a8b11d3a745a16280aced59db8ff3	None	None	http://identifiers.org/reactome/R-HSA-163743
http://identifiers.org/reactome/R-HSA-163748	http://pathwaycommons.org/pc2/Protein_4802fcf9405e0247879e4639c1494bc1	None	None	http://identifiers.org/reactome/R-HSA-163748
http://identifiers.org/reactome/R-HSA-163770	http://pathwaycommons.org/pc2/Protein_fd2436535d8a0ada46049ee9521387a5	None	None	http://identifiers.org/reactome/R-HSA-163770
http://identifiers.org/reactome/R-HSA-168884	http://pathwaycommons.org/pc2/Protein_a899c9ab1a53898dca0904bd4f98f2db	None	None	http://identifiers.org/reactome/R-HSA-168884
http://identifiers.org/reactome/R-HSA-190682	http://pathwaycommons.org/pc2/Protein_a2026d860a454e22e3d2a59b2d4afc8d	None	None	http://identifiers.org/reactome/R-HSA-190682
http://identifiers.org/reactome/R-HSA-190693	http://pathwaycommons.org/pc2/Protein_01e35fcd6f7d4946dc10fc90e15a875d	None	None	http://identifiers.org/reactome/R-HSA-190693
http://identifiers.org/reactome/R-HSA-191072	http://pathwaycommons.org/pc2/Protein_b3a9bb08c16dfbf016fefc0ba9fd0f3d	None	None	http://identifiers.org/reactome/R-HSA-191072
http://identifiers.org/reactome/R-HSA-195733	http://pathwaycommons.org/pc2/Protein_7893deaa4f0b0ea7d780f67f34838613	None	None	http://identifiers.org/reactome/R-HSA-195733
http://identifiers.org/reactome/R-HSA-195734	http://pathwaycommons.org/pc2/Protein_59fed1bed8262cba3961903a38f72dc3	None	None	http://identifiers.org/reactome/R-HSA-195734
http://identifiers.org/reactome/R-HSA-210767	http://pathwaycommons.org/pc2/Protein_43c5430a5afa5027e79b45dacd1dbfad	None	None	http://identifiers.org/reactome/R-HSA-210767
http://identifiers.org/reactome/R-HSA-210769	http://pathwaycommons.org/pc2/Protein_5a0e952b31ebb09f2fd8e478c1bc2f98	None	None	http://identifiers.org/reactome/R-HSA-210769
http://identifiers.org/reactome/R-HSA-210773	http://pathwaycommons.org/pc2/Protein_fe6cd79ec720198e9c24885b6d4ee6db	None	None	http://identifiers.org/reactome/R-HSA-210773
http://identifiers.org/reactome/R-HSA-210780	http://pathwaycommons.org/pc2/Protein_99ff333fde916133ceb22e2967b9cc61	None	None	http://identifiers.org/reactome/R-HSA-210780
http://identifiers.org/reactome/R-HSA-210784	http://pathwaycommons.org/pc2/Protein_b0f8169a81b63e532c7233578bd0124b	None	None	http://identifiers.org/reactome/R-HSA-210784
