#id	name	entitySetIDs	features	cellularLocation
http://pathwaycommons.org/pc2/Dna_0026615cc14b848bd6d168127af2449c	IL18-gene,-ALOX5-gene	http://pathwaycommons.org/pc2/Dna_0a6696034ed35acb54d51cda26726545;http://pathwaycommons.org/pc2/Dna_585c749985c79411c9076773922ee7fa	None	nucleoplasm
http://pathwaycommons.org/pc2/Dna_0e1101e0729692ed971779754febe8d2	APOA4,APOA5,APOC2,CIDEC,FGF21-genes	http://pathwaycommons.org/pc2/Dna_2f84fe2dbef3b848ad3dfd78bc270447;http://pathwaycommons.org/pc2/Dna_5a857ce37e39cabd2eaaf5ca6b451d3b;http://pathwaycommons.org/pc2/Dna_663bb5d84d408410c16fb0b9cc83eb13;http://pathwaycommons.org/pc2/Dna_b9972cc805d90e23b8d87540cdf6acd9;http://pathwaycommons.org/pc2/Dna_e548252947c319f29c2540482685b4af	None	nucleoplasm
http://pathwaycommons.org/pc2/Dna_13bbe97b6743403968f0ff1ffb4fd0a3	Class-I-MHC-heavy-chain-genes	http://pathwaycommons.org/pc2/Dna_0e846daa869996cde9fe69e35601ff0d;http://pathwaycommons.org/pc2/Dna_20ef343c6046012a4a860cdb1c716296;http://pathwaycommons.org/pc2/Dna_2ac91ded648b086f1a453af48e5f205a;http://pathwaycommons.org/pc2/Dna_32c8e59832555512578b50e0872c7847;http://pathwaycommons.org/pc2/Dna_347c78589623692b3927f9e0c6c363a9;http://pathwaycommons.org/pc2/Dna_84f450b9c2f234f2e18188d46290058e;http://pathwaycommons.org/pc2/Dna_b4a5685b7234c921ebfee47f60ffbda4	None	nucleoplasm
http://pathwaycommons.org/pc2/Dna_1d25a4c82be3b659c29f878614090c77	SESN1,2,3-Genes	http://pathwaycommons.org/pc2/Dna_1e08f62cf9e6c5bfc5b6a635b02b3823;http://pathwaycommons.org/pc2/Dna_2d56f2eb6e6cc55e1c9ed21f85561189;http://pathwaycommons.org/pc2/Dna_7b2e5194c88ce62808fd47d40c7489ec	None	nucleoplasm
http://pathwaycommons.org/pc2/Dna_1da3315cf4e188e4a7274e04e1fca921	IL10-downregulated-genes-for-extracellular-proteins;IL1A-gene,IL1B-gene,IL6-gene,IL12A-gene,IL12B-gene,IL18-gene,CSF2-gene,CSF3-gene,TNF-gene,LIF-gene,CCL2-gene,-CCL3-gene,CCL3L1-gene,CCL4-gene,-CCL20-gene,CCL19-gene,CCL5-gene,CXCL8-gene,-CXCL10-gene,CXCL2-gene,CXCL1-gene	http://pathwaycommons.org/pc2/Dna_00eafc0cc8e3075970b94d1eefb14fba;http://pathwaycommons.org/pc2/Dna_0928e30c68a4aac39afe16b488d600c4;http://pathwaycommons.org/pc2/Dna_09577948a0e1d5f821d72d725016f70a;http://pathwaycommons.org/pc2/Dna_0a6696034ed35acb54d51cda26726545;http://pathwaycommons.org/pc2/Dna_1170e97848825576199aeeccac70d1a7;http://pathwaycommons.org/pc2/Dna_3995056eca102aac077ed8bedeffac0f;http://pathwaycommons.org/pc2/Dna_42efe94275a4225035a4e23aa807cdc8;http://pathwaycommons.org/pc2/Dna_6e2870d011de63287f3d8ca55e6e141e;http://pathwaycommons.org/pc2/Dna_868cc98a58161170af8128ed037cf910;http://pathwaycommons.org/pc2/Dna_917845c27b4a17c8a911f33701077625;http://pathwaycommons.org/pc2/Dna_918cecb5322b73a10ef48164dc67ca54;http://pathwaycommons.org/pc2/Dna_956081da2375b1cfab6732bb19100181;http://pathwaycommons.org/pc2/Dna_99cd1b215904cc9383a51d55b8617ea0;http://pathwaycommons.org/pc2/Dna_9f6c1fb7807088d5eeb11cecf7bbfbdd;http://pathwaycommons.org/pc2/Dna_b0b3f4b8c22b7624dfb9da9ff13bd407;http://pathwaycommons.org/pc2/Dna_b4f370d576ce9294ee379d79ee83676f;http://pathwaycommons.org/pc2/Dna_c3fae78d260014be5a5c997b3727d9fa;http://pathwaycommons.org/pc2/Dna_da5b9cfa12598ac7666ab2f0d23eab60;http://pathwaycommons.org/pc2/Dna_e837543d4b0f2b62fc623766bdac29e9;http://pathwaycommons.org/pc2/Dna_e9f383bd58f1fbf162dfdd3663188826;http://pathwaycommons.org/pc2/Dna_f68e4046ec15f2f37601f6c864527bd9;http://pathwaycommons.org/pc2/Dna_f95fbec892ea1257681869c4d1de0397	None	nucleoplasm
http://pathwaycommons.org/pc2/Dna_20a800abe18094ddb9f5990fd5d2c038	MINK1/TNIK-genes	http://pathwaycommons.org/pc2/Dna_1a0af52623e7ee3c8d0487e544eef42f;http://pathwaycommons.org/pc2/Dna_3229fb1c03c4972a7ea69f538cab2718;http://pathwaycommons.org/pc2/Dna_758f3f135a1661eabe5f9137576737b7	None	nucleoplasm
http://pathwaycommons.org/pc2/Dna_20a90a4bfe0cf31964e62395d162cd12	MX-GTPases-genes	http://pathwaycommons.org/pc2/Dna_6482434f03c0f2f3a4873eacaec57203;http://pathwaycommons.org/pc2/Dna_ae557afea6148fd0311aa799b747b308	None	nucleoplasm
http://pathwaycommons.org/pc2/Dna_34f2ef6cacc30ae7385197409be59c3c	STAT6-upregulated-plasma-membrane-protein-genes	http://pathwaycommons.org/pc2/Dna_26b4586bb45801f8e1d0e156f25c02d8;http://pathwaycommons.org/pc2/Dna_57f80aa1304c70d89562f29b05ae67b2;http://pathwaycommons.org/pc2/Dna_6d20581d7cf7740ac4af89bf97136b2a;http://pathwaycommons.org/pc2/Dna_d1117bd03c549abececba52944f24126	None	nucleoplasm
http://pathwaycommons.org/pc2/Dna_37e547d5445841e4d1032ec25049669d	HSPA1-gene;HSP70-gene	http://pathwaycommons.org/pc2/Dna_26fd5cce8b73fe634293f7f1fa7842b7;http://pathwaycommons.org/pc2/Dna_3b6f341e9b8b7b60f107f26b21d89502;http://pathwaycommons.org/pc2/Dna_421f85d305512c6fc5430cfc07e99f4e;http://pathwaycommons.org/pc2/Dna_42beea760992cc570b30891cf9ce9b7a;http://pathwaycommons.org/pc2/Dna_51e2f988c64e4d8e69294a3adf5368ee;http://pathwaycommons.org/pc2/Dna_68f262a43d8ee235b929a238df63b381;http://pathwaycommons.org/pc2/Dna_7583c35bd51bb242f6fd020e97434118;http://pathwaycommons.org/pc2/Dna_87c39196676419bbf262ab2225fc94dc;http://pathwaycommons.org/pc2/Dna_9d86abe687e98841747c10cc5bff466a;http://pathwaycommons.org/pc2/Dna_db5fc03253e7477debd7e3823409cac1	None	nucleoplasm
http://pathwaycommons.org/pc2/Dna_3dafcae8b40bd0c3236b3c259ada28b1	HHIP-gene,PTCH2-gene,BOC-gene	http://pathwaycommons.org/pc2/Dna_34754804c5f25a79a4423f2ffcdb2fd7;http://pathwaycommons.org/pc2/Dna_34bbdd6066fb56e8257042b0c3a6e07e;http://pathwaycommons.org/pc2/Dna_989d1222ab86539f5d7f7ba4d202bf58	None	nucleoplasm
http://pathwaycommons.org/pc2/Dna_3f7a7affaca8861aedaf1a093755688b	STAT3-upregulated-genes-for-extracellular-proteins	http://pathwaycommons.org/pc2/Dna_071799fc79c0384009791b879fbdd115;http://pathwaycommons.org/pc2/Dna_1170e97848825576199aeeccac70d1a7;http://pathwaycommons.org/pc2/Dna_2d0306e594ff03a5114643dd1b24828b;http://pathwaycommons.org/pc2/Dna_3ca67453df7378d16c978888a00e6699;http://pathwaycommons.org/pc2/Dna_4afd2e8f58d84ac17ce1f9dce6116d58;http://pathwaycommons.org/pc2/Dna_5b087464cfaab3b7219a16624b09bf25;http://pathwaycommons.org/pc2/Dna_5b30ae34c31b17e45b10f6f7b1b8467f;http://pathwaycommons.org/pc2/Dna_60752b8ea7921d010c30ca65fcc86320;http://pathwaycommons.org/pc2/Dna_662e9c9bfc729efaeeef3982f28a6978;http://pathwaycommons.org/pc2/Dna_6ad3bead50a4127f6b846406864ed14b;http://pathwaycommons.org/pc2/Dna_6e46da4e8a5e3fe2b5ac4b5688e54f46;http://pathwaycommons.org/pc2/Dna_8b101d84b26e65e0b03f54068cbc22ba;http://pathwaycommons.org/pc2/Dna_9266bee1d0a42e3d13ff69a2bfaa47ee;http://pathwaycommons.org/pc2/Dna_9bc89ebd05e7a978c089295bba4a1d4f;http://pathwaycommons.org/pc2/Dna_aa433bd1a1137b4678de1ca4aaf0e263;http://pathwaycommons.org/pc2/Dna_b4f370d576ce9294ee379d79ee83676f;http://pathwaycommons.org/pc2/Dna_c3f41e133a51db6e2385117f3e405979;http://pathwaycommons.org/pc2/Dna_cdfca222203b6bc9f0e10835dc30d1c6;http://pathwaycommons.org/pc2/Dna_e181f8044eb11be2215e9320aa4b117d;http://pathwaycommons.org/pc2/Dna_ef1a7ffc74b551a8327392f17ed74a5c	None	nucleoplasm
http://pathwaycommons.org/pc2/Dna_4fd6d33344b73b45df7f4f28412238fb	MHC-class-II-alpha/beta-dimer-genes	http://pathwaycommons.org/pc2/Dna_36c6af21eb7d518a579a4ef85bce219e;http://pathwaycommons.org/pc2/Dna_3bf91e87ef0349d8a27573403fc35336;http://pathwaycommons.org/pc2/Dna_402d5637f26c93b21f72b65f6e1e9192;http://pathwaycommons.org/pc2/Dna_6262625d1f9f39a0e4e175fa9b8d7990;http://pathwaycommons.org/pc2/Dna_65ecc7ae59b0f1ae42fcbd2dbb32e614;http://pathwaycommons.org/pc2/Dna_6ab34c988aeb0cdd3c9ede1909a2b9bf;http://pathwaycommons.org/pc2/Dna_9715dd65e5665be60100212586e7a993;http://pathwaycommons.org/pc2/Dna_9f8a0e2b6ba196d8e12646257aec18d6;http://pathwaycommons.org/pc2/Dna_b4b108b5f772dba0e06a4bd91c8cbf4a;http://pathwaycommons.org/pc2/Dna_c72730d154d315604f3ec686d25ad430;http://pathwaycommons.org/pc2/Dna_f8dddfc1053e20635e15f5cde252f5c6	None	nucleoplasm
http://pathwaycommons.org/pc2/Dna_54260c9b66306878779730cebd8de056	MIR34-genes	http://pathwaycommons.org/pc2/Dna_7de9ec187840ac8b794f21f9315e2d16;http://pathwaycommons.org/pc2/Dna_90d38493d2009e01e1c7c349db05438c;http://pathwaycommons.org/pc2/Dna_950fd4d63e91039dacafbd404b336f91	None	nucleoplasm
http://pathwaycommons.org/pc2/Dna_54611019a915e8819390e1594c3ca272	NDN-gene,-TP53-gene	http://pathwaycommons.org/pc2/Dna_64b820e8b1890b13e190fb55c4cc5ba0;http://pathwaycommons.org/pc2/Dna_87894be97ca9f26e97759914f72a783a	None	nucleoplasm
http://pathwaycommons.org/pc2/Dna_5b485d55d41f85b330f563fd5e151989	KLK2,3-genes	http://pathwaycommons.org/pc2/Dna_05ff25d4d392d2695858ee99874381b1;http://pathwaycommons.org/pc2/Dna_a6f5ed70428471d93ae5cc7777a3d580	None	nucleoplasm
http://pathwaycommons.org/pc2/Dna_5b4bc1dbe376964d91cc15539fab3b09	TFF1,-TFF3-gene	http://pathwaycommons.org/pc2/Dna_b6b565062af9858594011b3a4b8fb81b;http://pathwaycommons.org/pc2/Dna_d8362f9697a83bf858566c51da2c9d9d	None	nucleoplasm
http://pathwaycommons.org/pc2/Dna_5e40b9d02c78f80f31503eb6fcb84296	IRF-1-9-genes	http://pathwaycommons.org/pc2/Dna_0ac92ed969315d31b85cbee93612c52a;http://pathwaycommons.org/pc2/Dna_0d140c75f826de3eee8f7622e1f1a271;http://pathwaycommons.org/pc2/Dna_2545f7a6a0f8fdd68bcfbd1bec10fc55;http://pathwaycommons.org/pc2/Dna_5d035cbcd17000cf42be4ff9fe2bcbcb;http://pathwaycommons.org/pc2/Dna_70d887df64a7aeb3f9c76da664174957;http://pathwaycommons.org/pc2/Dna_91f5ffe31cc060c88ab2f64b6d95d2ed;http://pathwaycommons.org/pc2/Dna_b2d4b6c2b079fe0b96a932ed1a5fc14c;http://pathwaycommons.org/pc2/Dna_d48f4ac9ed3c42510abcabf15d265690;http://pathwaycommons.org/pc2/Dna_f2eb7996447614014bcec996320e2e69	None	nucleoplasm
