#Entity	NumDownstream
http://pathwaycommons.org/pc2/Protein_f6d4a1b3f6dfd29dfa59b47604e5330d	22339
http://pathwaycommons.org/pc2/Protein_4177d8298c759f806b15c5a9fcd24926	23720
http://pathwaycommons.org/pc2/Protein_5f16690773363728f92891d1574e4495	23465
http://pathwaycommons.org/pc2/PhysicalEntity_4d54bb12fbea809c005adca510b31c48	21185
http://pathwaycommons.org/pc2/Protein_e316235cb53ef586447fdf0f8db5cd85	3
http://pathwaycommons.org/pc2/Complex_b51be250878eeaeb4f8e2ed37ab0a328	44
http://pathwaycommons.org/pc2/Protein_3e45c8a17a4e35acfb5a1d3819505501	19545
http://pathwaycommons.org/pc2/Protein_d20e35fc6346f2b8b5f46e7d8226376d	24468
http://pathwaycommons.org/pc2/SmallMolecule_baf8f32709184586446823e5226931bd	22987
http://pathwaycommons.org/pc2/Protein_b2f42476edbc1ccfaa1a119b061e3287	21561
http://pathwaycommons.org/pc2/Protein_7e178fc040ff1afc327535d95dc9330f	8
http://pathwaycommons.org/pc2/Complex_009754dc4445f416d1c6b74861b419b5	22308
http://pathwaycommons.org/pc2/SmallMolecule_2f810b14279908ea1988ea9a4a8306a9	22556
http://pathwaycommons.org/pc2/Dna_3a30f052732f66eb2bb508fb61a0594a	13599
http://pathwaycommons.org/pc2/SmallMolecule_e91ef090d151cccafd37aec08d5d4c71	22584
http://pathwaycommons.org/pc2/Protein_189736d56a71b3adfd88366d3f4ccca6	23357
http://pathwaycommons.org/pc2/Protein_6da1bf3d6555466a787bee5d47ee7a66	22562
http://pathwaycommons.org/pc2/Protein_a1b280894886f3d70f6a0f127a97fd24	23208
http://pathwaycommons.org/pc2/Protein_39923e9dfdaa1757708cde35c29695a4	22267
http://pathwaycommons.org/pc2/Dna_a5217b7d433aa95bc8a0614141a71a4b	5
http://pathwaycommons.org/pc2/Complex_b0a61dbb918d165b4cc2347823864b85	22326
http://pathwaycommons.org/pc2/Protein_93375d67a9305d51c9c9876252dbeef7	8
http://pathwaycommons.org/pc2/Protein_9d8c494630deb2900140a0d030d7fe5c	1092
http://pathwaycommons.org/pc2/Protein_51a0b9ee46c38048d6fbab2bcd19eb26	3
http://pathwaycommons.org/pc2/Complex_caadb6c23d73fbdc0265b468857025d6	23209
http://pathwaycommons.org/pc2/Protein_94310b2170f15ae965dd2585a4af3013	22338
http://pathwaycommons.org/pc2/Protein_08a0c13d720ab2fbb4cf16a65836ba50	374
http://pathwaycommons.org/pc2/Complex_e4b0072b60de6c98c0b89e85592b9808	22558
http://pathwaycommons.org/pc2/Protein_cce7dc40e24e48db4071bf70826a81df	4
