#Name	d=1	d=2	d=3	...
STAR	4	8	103	296	2256	4417	5830	7034	7766	8316	8728	9079	9331	9550	9671	9765	9844	9931	9981	10050	10100	10136	10151	10157	10161	10161	10161	10161	10161	10161
PTPN6,PTPN11:p-Y223,248-PDCD1:B7-DC,B7-H1	3	6	46	367	2583	4607	6020	7126	7855	8340	8744	9086	9337	9552	9669	9763	9842	9928	9978	10047	10099	10133	10149	10154	10157	10157	10157	10157	10157	10157
ESET	4	8	9	16	35	44	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47	47
DREAM	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Ub-Cys632-UBA1	5	7	10	13	16	20	24	31	43	159	2259	4511	5972	7076	7860	8463	8910	9218	9434	9628	9743	9838	9914	9974	10040	10099	10129	10144	10152	10156
LTC4	259	1230	2975	5048	6290	7092	7777	8402	8688	9028	9287	9557	9618	9712	9796	9873	9937	10047	10053	10106	10149	10149	10154	10157	10157	10157	10157	10157	10157	10157
NEDD8-CRL4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
Extended	3	7	8	9	11	15	30	61	146	254	574	943	3011	5388	6994	8233	9062	9527	9772	9923	10037	10096	10117	10131	10139	10143	10146	10149	10154	10156
Lac	8	25	99	604	2843	4898	6407	7131	7858	8375	8757	9094	9337	9553	9675	9764	9843	9929	9979	10048	10100	10134	10150	10155	10158	10158	10158	10158	10158	10158
6xMeR-PIWIL2:cleaved	2	4	16	56	937	3274	5240	6555	7268	8011	8527	8934	9172	9440	9631	9741	9823	9911	9971	10038	10093	10126	10147	10153	10157	10157	10157	10157	10157	10157
SLN	3	241	1400	3669	5445	6669	7381	8092	8549	8926	9178	9428	9630	9743	9827	9913	9973	10040	10097	10128	10150	10155	10158	10158	10158	10158	10158	10158	10158	10158
Chondroitin	3	5	10	17	297	2442	4524	5903	7019	7764	8330	8743	9085	9333	9551	9669	9763	9842	9928	9978	10047	10099	10133	10149	10154	10157	10157	10157	10157	10157
MOCS3-S-S(1-):Zn2+	8	43	159	1735	4060	5696	6793	7613	8226	8647	9009	9273	9492	9608	9705	9794	9871	9936	9990	10053	10106	10135	10149	10154	10157	10157	10157	10157	10157	10157
TPN	5	15	67	225	986	3086	5152	6367	7134	7841	8346	8746	9091	9334	9553	9674	9767	9842	9928	9978	10047	10099	10133	10149	10154	10157	10157	10157	10157	10157
RUNX2:SMURF1	6	36	202	456	2543	4665	6034	7122	7886	8421	8799	9115	9356	9570	9696	9787	9860	9937	9985	10050	10099	10134	10147	10153	10157	10157	10157	10157	10157	10157
ligands	71	540	2812	5045	6340	7172	7880	8398	8771	9106	9349	9562	9682	9774	9849	9935	9985	10054	10106	10140	10156	10161	10164	10164	10164	10164	10164	10164	10164	10164
