#k	#Members	Members	IncidentNodes
-1	9	http://pathwaycommons.org/pc2/Protein_12d6d98708f5792314d1b0d06e5f9ff5;http://pathwaycommons.org/pc2/Complex_2ea390b69548e18c7bbd64ae33965ce0;http://pathwaycommons.org/pc2/Complex_ac83bab61c0dbb9f5c378f8751dba58d;http://pathwaycommons.org/pc2/Complex_5320e8358ee70daeabe64ae32035d199;http://pathwaycommons.org/pc2/Complex_27fcb57b9c457d4764ad9898e92301de;http://pathwaycommons.org/pc2/Protein_acd5f67f8ca4abb1649a0717a7c7de3e;http://pathwaycommons.org/pc2/Complex_2704bb1002256051bb8db41d5c706aea;http://pathwaycommons.org/pc2/Complex_7daa05c642634129120c8b277797fa5b;http://pathwaycommons.org/pc2/Protein_0cc37274087f8a8018c94ce0919be07b	None
0	9	http://pathwaycommons.org/pc2/Protein_12d6d98708f5792314d1b0d06e5f9ff5;http://pathwaycommons.org/pc2/Complex_ac83bab61c0dbb9f5c378f8751dba58d;http://pathwaycommons.org/pc2/Complex_2ea390b69548e18c7bbd64ae33965ce0;http://pathwaycommons.org/pc2/Complex_5320e8358ee70daeabe64ae32035d199;http://pathwaycommons.org/pc2/Complex_27fcb57b9c457d4764ad9898e92301de;http://pathwaycommons.org/pc2/Protein_acd5f67f8ca4abb1649a0717a7c7de3e;http://pathwaycommons.org/pc2/Complex_2704bb1002256051bb8db41d5c706aea;http://pathwaycommons.org/pc2/Complex_7daa05c642634129120c8b277797fa5b;http://pathwaycommons.org/pc2/Protein_0cc37274087f8a8018c94ce0919be07b	http://identifiers.org/reactome/R-HSA-8852522;http://identifiers.org/reactome/R-HSA-8852552;http://identifiers.org/reactome/R-HSA-6800315;http://identifiers.org/reactome/R-HSA-6800198
1	1	http://pathwaycommons.org/pc2/Complex_e9d248fd74bd23afd8e4a34ce3ee40b7	http://identifiers.org/reactome/R-HSA-6800200;http://identifiers.org/reactome/R-HSA-6800299
2	3	http://pathwaycommons.org/pc2/Complex_79854118d328b5aea8b51eb6aab10a30;http://pathwaycommons.org/pc2/Complex_ac9f4e8a77e87cf27624dd1cdc7d9c08;http://pathwaycommons.org/pc2/Complex_cb5c7e9c9b5d808f2de9d5479b3bd54a	http://identifiers.org/reactome/R-HSA-6806974;http://identifiers.org/reactome/R-HSA-6806957;http://identifiers.org/reactome/R-HSA-6800298
3	18	http://pathwaycommons.org/pc2/Complex_02dafd95a8b541f6feabb0238def607b;http://pathwaycommons.org/pc2/Complex_4fe9cede5e3f557e99b4b11519d36c3c;http://pathwaycommons.org/pc2/Complex_950318c92f95a73cd1f21b9311c269e3;http://pathwaycommons.org/pc2/Complex_f9f271dcf256b97186910c291210aa47;http://pathwaycommons.org/pc2/Complex_6ebf068e99d09456200f76721f57b327;http://pathwaycommons.org/pc2/Complex_6ff883d50cbf1512f05acfaa9f127c5b;http://pathwaycommons.org/pc2/Complex_619bb90c3f89e240c965cfd4f29b4685;http://pathwaycommons.org/pc2/Complex_a625f0d78993d3e4975090bf71aa209c;http://pathwaycommons.org/pc2/Complex_701ac6099402c69da7ff0544157adb17;http://pathwaycommons.org/pc2/Complex_b57864ec521e6fafe25fc6a58a6cfc13;http://pathwaycommons.org/pc2/Complex_6b50420069b88decc86715434b107bcb;http://pathwaycommons.org/pc2/Complex_f314389a6b2901621f93851b32327ad8;http://pathwaycommons.org/pc2/Complex_bbd6e12c570c9ef55edbd193e0e1d8c1;http://pathwaycommons.org/pc2/Complex_76f6180ab2349cb1fb5e4b80136ce0cf;http://pathwaycommons.org/pc2/Complex_3bc611feee808527e440efbdfff7d0bf;http://pathwaycommons.org/pc2/Complex_0382ee66acd11cb89088140ce9ec34dc;http://pathwaycommons.org/pc2/Complex_84a28b95bb5cbaf308d4b23a577033b1;http://pathwaycommons.org/pc2/Protein_12ae17d7e8c17e2c2b62dca8901af3cf	http://identifiers.org/reactome/R-HSA-6784763;http://identifiers.org/reactome/R-HSA-8851919;http://identifiers.org/reactome/R-HSA-8874079;http://identifiers.org/reactome/R-HSA-8875523;http://identifiers.org/reactome/R-HSA-8851866;http://identifiers.org/reactome/R-HSA-8875531;http://identifiers.org/reactome/R-HSA-8851888;http://identifiers.org/reactome/R-HSA-8851908;http://identifiers.org/reactome/R-HSA-6784765;http://identifiers.org/reactome/R-HSA-8874078;http://identifiers.org/reactome/R-HSA-6807008;http://identifiers.org/reactome/R-HSA-8851804;http://identifiers.org/reactome/R-HSA-8875817;http://identifiers.org/reactome/R-HSA-6807027;http://identifiers.org/reactome/R-HSA-8851859;http://identifiers.org/reactome/R-HSA-8851890;http://identifiers.org/reactome/R-HSA-8851842;http://identifiers.org/reactome/R-HSA-8875816
4	20	http://pathwaycommons.org/pc2/Protein_ebb8bcb4557abefc58d1fe3ef520674a;http://pathwaycommons.org/pc2/Protein_7ac9a12d60f2f975d3b2956e120a065c;http://pathwaycommons.org/pc2/Protein_5bd7c9a6112a985c4d01edb48d3f9395;http://pathwaycommons.org/pc2/Complex_8168276ec39927a45a95ee9be6e68ade;http://pathwaycommons.org/pc2/Protein_f51a54cbc41c73aa815e05475b065704;http://pathwaycommons.org/pc2/Complex_26e134585b15dd7ebdfce300e4735a2b;http://pathwaycommons.org/pc2/Complex_a13a46d141807ee325c2d64317bd8ded;http://pathwaycommons.org/pc2/Complex_ce68ae640423a96904a4d23f23a44840;http://pathwaycommons.org/pc2/Complex_e2feacd238190d030e1f24bed9fe5ab9;http://pathwaycommons.org/pc2/Complex_943ebaa2d6d506300a41a1ca9d5a837b;http://pathwaycommons.org/pc2/Complex_72b735b6e0a9dc98e323440e5e4c08c7;http://pathwaycommons.org/pc2/Complex_caf19fe50b1242f350ff45a644fa3e43;http://pathwaycommons.org/pc2/Complex_aee5a078471acf551ebb23117df3ea87;http://pathwaycommons.org/pc2/Protein_540222131f3974fd52f9b127c3b3a9e8;http://pathwaycommons.org/pc2/Protein_98176fa0a62c2acd25124b80decee301;http://pathwaycommons.org/pc2/Protein_de383a3ac1f38debb8d4bf712f30156c;http://pathwaycommons.org/pc2/Protein_2ad69bdff7dc77c37b1595a52b70395f;http://pathwaycommons.org/pc2/Complex_fe5446ef7e68140fef05358e0f470290;http://pathwaycommons.org/pc2/Protein_f24629129c437e326bdf2cefabb58c6f;http://pathwaycommons.org/pc2/Complex_15a5ea80c8e5e702576f76bd83fdba72	http://identifiers.org/reactome/R-HSA-6797245;http://identifiers.org/reactome/R-HSA-8851900;http://identifiers.org/reactome/R-HSA-8874080;http://identifiers.org/reactome/R-HSA-6790029;http://identifiers.org/reactome/R-HSA-6789960;http://identifiers.org/reactome/R-HSA-8874083;http://identifiers.org/reactome/R-HSA-8848150;http://identifiers.org/reactome/R-HSA-8950780;http://identifiers.org/reactome/R-HSA-6790022;http://identifiers.org/reactome/R-HSA-6789615;http://identifiers.org/reactome/R-HSA-8950782;http://identifiers.org/reactome/R-HSA-6790036;http://identifiers.org/reactome/R-HSA-2895778;http://identifiers.org/reactome/R-HSA-8874082;http://identifiers.org/reactome/R-HSA-6790041;http://identifiers.org/reactome/R-HSA-8950724;http://identifiers.org/reactome/R-HSA-3858387;http://identifiers.org/reactome/R-HSA-6790025;http://identifiers.org/reactome/R-HSA-8851827;http://identifiers.org/reactome/R-HSA-8851877;http://identifiers.org/reactome/R-HSA-8950733
5	19	http://pathwaycommons.org/pc2/Complex_fb5a4aa096ad981cd17191c466963f3c;http://pathwaycommons.org/pc2/Complex_dc828b22aba2eb478c1afe4f71e7af93;http://pathwaycommons.org/pc2/Complex_d976c9f88c0334dfc2c4872411aa1c72;http://pathwaycommons.org/pc2/Protein_a2f6b3093e0a90287bf240f6a8210135;http://pathwaycommons.org/pc2/Complex_e3a06961f860dd40ac34c834ff457c9f;http://pathwaycommons.org/pc2/PhysicalEntity_d281fa68d646d764a077bd4b66f53ba6;http://pathwaycommons.org/pc2/Protein_a7f2d8582a7aa1c74f2dbf2aac4b9b56;http://pathwaycommons.org/pc2/Protein_0b782bd1b178e75ebca769842f7e026f;http://pathwaycommons.org/pc2/Protein_4b9b23b69551fc62a06ecdee0f967f51;http://pathwaycommons.org/pc2/Complex_72b507f44563bf828339cbbce7774f74;http://pathwaycommons.org/pc2/Complex_e9cdae5274ec3c9640b827799b64e600;http://pathwaycommons.org/pc2/Complex_d7f707dc0b51035497375b0aa748b35b;http://pathwaycommons.org/pc2/Protein_cd6febcc3c2fafda07e4f7b4d54dd09a;http://pathwaycommons.org/pc2/Protein_c0a431d5309088522b93601eff87717b;http://pathwaycommons.org/pc2/Complex_383bebb9b365568b03277e55c5c4c010;http://pathwaycommons.org/pc2/Complex_611bceff7ec97af7cfe52db64653b928;http://pathwaycommons.org/pc2/Complex_26002255bdce314ec6d02c20a9235683;http://pathwaycommons.org/pc2/Complex_e53906ee3608cd411823a8e8805e5dea;http://pathwaycommons.org/pc2/Protein_8c586c486a8153d7c99b5dfc5eef45db	http://identifiers.org/reactome/R-HSA-1183058;http://identifiers.org/reactome/R-HSA-879201;http://identifiers.org/reactome/R-HSA-3857329;http://identifiers.org/reactome/R-HSA-71050;http://identifiers.org/reactome/R-HSA-8981355;http://identifiers.org/reactome/R-HSA-480520;http://identifiers.org/reactome/R-HSA-381377;http://identifiers.org/reactome/R-HSA-5624494;http://identifiers.org/reactome/R-HSA-977271;http://identifiers.org/reactome/R-HSA-5674022;http://identifiers.org/reactome/R-HSA-5658435;http://identifiers.org/reactome/R-HSA-5658231;http://identifiers.org/reactome/R-HSA-381283;http://identifiers.org/reactome/R-HSA-5672950;http://identifiers.org/reactome/R-HSA-75244;http://identifiers.org/reactome/R-HSA-8848178;http://identifiers.org/reactome/R-HSA-5674018;http://identifiers.org/reactome/R-HSA-8851899;http://identifiers.org/reactome/R-HSA-170986
6	15	http://pathwaycommons.org/pc2/Complex_336e522a292d75ca667abab877680f91;http://pathwaycommons.org/pc2/Complex_7335399fec102946ddc08d5b13bcb3c4;http://pathwaycommons.org/pc2/Protein_125a8340b21cf9217c00ead9eee9bbef;http://pathwaycommons.org/pc2/Complex_4f97e33be6c0e5144080bfca56a5e9f8;http://pathwaycommons.org/pc2/Complex_bf9c8466d9a03694e756a7387ee06868;http://pathwaycommons.org/pc2/Protein_18c6aa2420cbe3c4f90c60e7afe99378;http://pathwaycommons.org/pc2/Complex_7527c8669582af9795ee1d91f23c185b;http://pathwaycommons.org/pc2/Complex_28764d7737869d7016fc47072aaa670f;http://pathwaycommons.org/pc2/Complex_d4f2a12c1500d904e6e618fbf7932692;http://pathwaycommons.org/pc2/Complex_a07ee95fd17846bf56a361087df29574;http://pathwaycommons.org/pc2/Protein_533c10416a773ff4ce72b149b7ed1975;http://pathwaycommons.org/pc2/Complex_0b54af4415f7cf326b8305a8b4a4201a;http://pathwaycommons.org/pc2/Complex_21aa5a9ef4f10a0add8c070d617c2daa;http://pathwaycommons.org/pc2/Complex_52fe581a3b331fe4e869439ef14021dc;http://pathwaycommons.org/pc2/Complex_6cf9d0dc1867a485d0beec239cfe2539	http://identifiers.org/reactome/R-HSA-109807;http://identifiers.org/reactome/R-HSA-1250383;http://identifiers.org/reactome/R-HSA-8943728;http://identifiers.org/reactome/R-HSA-83650;http://identifiers.org/reactome/R-HSA-560491;http://identifiers.org/reactome/R-HSA-5655241;http://identifiers.org/reactome/R-HSA-8848110;http://identifiers.org/reactome/R-HSA-177938;http://identifiers.org/reactome/R-HSA-1225951;http://identifiers.org/reactome/R-HSA-1112609;http://identifiers.org/reactome/R-HSA-392054;http://identifiers.org/reactome/R-HSA-5624492;http://identifiers.org/reactome/R-HSA-1433471;http://identifiers.org/reactome/R-HSA-109817;http://identifiers.org/reactome/R-HSA-5654663;http://identifiers.org/reactome/R-HSA-5654426;http://identifiers.org/reactome/R-HSA-2424477;http://identifiers.org/reactome/R-HSA-5686071;http://identifiers.org/reactome/R-HSA-177945;http://identifiers.org/reactome/R-HSA-3857336;http://identifiers.org/reactome/R-HSA-5637808;http://identifiers.org/reactome/R-HSA-5672965;http://identifiers.org/reactome/R-HSA-1306972;http://identifiers.org/reactome/R-HSA-8981353;http://identifiers.org/reactome/R-HSA-8941613;http://identifiers.org/reactome/R-HSA-3857328;http://identifiers.org/reactome/R-HSA-5672966;http://identifiers.org/reactome/R-HSA-1168636;http://identifiers.org/reactome/R-HSA-5654413;http://identifiers.org/reactome/R-HSA-186834;http://identifiers.org/reactome/R-HSA-2972968;http://identifiers.org/reactome/R-HSA-9032067;http://identifiers.org/reactome/R-HSA-210977;http://identifiers.org/reactome/R-HSA-5637806;http://identifiers.org/reactome/R-HSA-2179407;http://identifiers.org/reactome/R-HSA-2672302;http://identifiers.org/reactome/R-HSA-5621573;http://identifiers.org/reactome/R-HSA-381262;http://identifiers.org/reactome/R-HSA-5655277;http://identifiers.org/reactome/R-HSA-1112755;http://identifiers.org/reactome/R-HSA-1225957;http://identifiers.org/reactome/R-HSA-5686318;http://identifiers.org/reactome/R-HSA-8941628;http://identifiers.org/reactome/R-HSA-5655326;http://identifiers.org/reactome/R-HSA-5654402;http://identifiers.org/reactome/R-HSA-5654600;http://identifiers.org/reactome/R-HSA-5655347;http://identifiers.org/reactome/R-HSA-5654647;http://identifiers.org/reactome/R-HSA-8941623;http://identifiers.org/reactome/R-HSA-9026891;http://identifiers.org/reactome/R-HSA-1250463;http://identifiers.org/reactome/R-HSA-171026;http://identifiers.org/reactome/R-HSA-8941618;http://identifiers.org/reactome/R-HSA-8853307;http://identifiers.org/reactome/R-HSA-1250498;http://identifiers.org/reactome/R-HSA-5654392;http://identifiers.org/reactome/R-HSA-5654618
7	25	http://pathwaycommons.org/pc2/Complex_124fdb977f5fa9a74bde8be646501565;http://pathwaycommons.org/pc2/Complex_8675ba29d293b7ec850464fe7e3821fb;http://pathwaycommons.org/pc2/Complex_d57d5ec6876667423aab61f8673ba63e;http://pathwaycommons.org/pc2/Protein_7fa84b1b49db32ca9658792755b791e3;http://pathwaycommons.org/pc2/Complex_b59224c3700a7d30d923524e43aefcd3;http://pathwaycommons.org/pc2/Complex_e648c5058f909a292f3108ff2ef3bce7;http://pathwaycommons.org/pc2/Complex_31e0fb42ce82a875ab05f876fd573d89;http://pathwaycommons.org/pc2/Complex_28a9e658afb9c117432f645fcbdd7076;http://pathwaycommons.org/pc2/Protein_004221c76bb3eeaabdae797697f500e8;http://pathwaycommons.org/pc2/Complex_d7d880267ddf30e1aa9d965eef8c6694;http://pathwaycommons.org/pc2/Protein_0a3081a8a9941b5fb20f450ef94586c9;http://pathwaycommons.org/pc2/Complex_733c03013569837cc3a49e4b2d79298a;http://pathwaycommons.org/pc2/Complex_1a56f81aa4bfe3016613e60814336d9e;http://pathwaycommons.org/pc2/Complex_651dca7cf23cc8f27326b5c799463782;http://pathwaycommons.org/pc2/Complex_f9da0cba65ca089e0911319047f45402;http://pathwaycommons.org/pc2/Complex_cf129c3286c55678483678570ad88e65;http://pathwaycommons.org/pc2/Complex_f54997038a88a4b704bd160adf7d2f27;http://pathwaycommons.org/pc2/Complex_2355ca0a294a04426b380d3feacc69b9;http://pathwaycommons.org/pc2/Rna_f0bce8311f566ed2174786f22e7effdc;http://pathwaycommons.org/pc2/Complex_e02a4c95b9d0999f70e609ae1c1f32a5;http://pathwaycommons.org/pc2/Complex_3b8c196c9a722cfb4a2562fea33071ed;http://pathwaycommons.org/pc2/Complex_c5e24cd5036e8238732ea282dbda8a6e;http://pathwaycommons.org/pc2/Complex_eaae661622d9dae68e1c87df9c68c2e6;http://pathwaycommons.org/pc2/Complex_d130e6824bab3e3f5cf8bdc02f04fe8f;http://pathwaycommons.org/pc2/Complex_6366838a7e625e22cdd34bd0787370b2	http://identifiers.org/reactome/R-HSA-2586553;http://identifiers.org/reactome/R-HSA-8943780;http://identifiers.org/reactome/R-HSA-2586555;http://identifiers.org/reactome/R-HSA-381290;http://identifiers.org/reactome/R-HSA-5672969;http://identifiers.org/reactome/R-HSA-1112538;http://identifiers.org/reactome/R-HSA-1112602;http://identifiers.org/reactome/R-HSA-3857305;http://identifiers.org/reactome/R-HSA-1112587;http://identifiers.org/reactome/R-HSA-186798;http://identifiers.org/reactome/R-HSA-1183032;http://identifiers.org/reactome/R-HSA-1112604;http://identifiers.org/reactome/R-HSA-3857345;http://identifiers.org/reactome/R-HSA-8849094;http://identifiers.org/reactome/R-HSA-170991;http://identifiers.org/reactome/R-HSA-4093330;http://identifiers.org/reactome/R-HSA-5624486;http://identifiers.org/reactome/R-HSA-3857308;http://identifiers.org/reactome/R-HSA-83586;http://identifiers.org/reactome/R-HSA-1112727;http://identifiers.org/reactome/R-HSA-141310;http://identifiers.org/reactome/R-HSA-1183003;http://identifiers.org/reactome/R-HSA-452392
8	41	http://pathwaycommons.org/pc2/Protein_0a0d52b9efe1e8d010750508f1ce5bd7;http://pathwaycommons.org/pc2/Complex_f8f747ab7c7ee7796d1550b8a88249dd;http://pathwaycommons.org/pc2/Protein_4ad53a3ebd0e2ab0a354ed1757f2e273;http://pathwaycommons.org/pc2/Complex_d21d82c35e7bccb529d5a2d7caef0fcf;http://pathwaycommons.org/pc2/Complex_6c6991f3fdbd3ada8e6f34e0a6396e84;http://pathwaycommons.org/pc2/Complex_e681115a57ac462fce7abe9aed402b38;http://pathwaycommons.org/pc2/Complex_94ec9104ecdf22df04331bce19e6913e;http://pathwaycommons.org/pc2/Protein_0d8521cf534f69d6cfe603aafc90f6d6;http://pathwaycommons.org/pc2/Complex_9ccbb5956fc97892166010b0da7dd81d;http://pathwaycommons.org/pc2/Protein_c0c29eabf50083f968600094532fe5b1;http://pathwaycommons.org/pc2/Protein_4d6efb715d85ed498b8791348771f15b;http://pathwaycommons.org/pc2/Complex_f1b93c1829e4762fc6a6003132e863ad;http://pathwaycommons.org/pc2/Complex_e9e35666434de6cc395b597972fb8a5c;http://pathwaycommons.org/pc2/Complex_add08e4923ccd205dfb20055599877f4;http://pathwaycommons.org/pc2/Protein_d1196cbba6cdf0dd0e9aeacf91724d31;http://pathwaycommons.org/pc2/Protein_78fb151f81bb21d43ca9eeee8991ee5b;http://pathwaycommons.org/pc2/Complex_96b3ea4aa4d3b5c22fce387095623a4e;http://pathwaycommons.org/pc2/Complex_cc9d4df616e3d5b58c9fd3fd9d01a030;http://pathwaycommons.org/pc2/Protein_1acfbbd68e97d75ca63bf87a2a4e3dd6;http://pathwaycommons.org/pc2/Complex_19ca2bf2558a295878ca39581caab21c;http://pathwaycommons.org/pc2/PhysicalEntity_78f01c5b4eaf0b99872d5d2e6db41755;http://pathwaycommons.org/pc2/Complex_8aeef07fce845d985023820f7e04e546;http://pathwaycommons.org/pc2/Protein_1efc7cc2ded26913e4a344e3a930e9f3;http://pathwaycommons.org/pc2/Rna_c00292c2b994ba6250708faa3a12ae2f;http://pathwaycommons.org/pc2/Complex_0d8a01a3708b1a18c672d953b50c167b;http://pathwaycommons.org/pc2/Complex_8eaef7376b0c6ae292db0a6615a05766;http://pathwaycommons.org/pc2/Complex_81f1d0c8e51ea149c46828446b3c1f0b;http://pathwaycommons.org/pc2/Protein_7e075ad3e4c93ad58eb0512775d8e611;http://pathwaycommons.org/pc2/Complex_6e523232e837f0046d3c493bf7d40d98;http://pathwaycommons.org/pc2/Complex_420d07ba33c9ef47d25417b72b3fb19e;http://pathwaycommons.org/pc2/Complex_424982e6cc94a28d3a9b8ee0633dc2e5;http://pathwaycommons.org/pc2/Protein_996d1462112dcb3107faad647da16b77;http://pathwaycommons.org/pc2/Complex_d3b90330fcd0627e388760ba90169e82;http://pathwaycommons.org/pc2/Complex_9bb4ba070377769f204e96ada11e8638;http://pathwaycommons.org/pc2/Complex_35a3523ad766114cd381f6e8cbb03155;http://pathwaycommons.org/pc2/Complex_7e1e4eb34357f78987d29c136cdaf572;http://pathwaycommons.org/pc2/Complex_dca51ee7bc8f76656c0f8d56150b3a6b;http://pathwaycommons.org/pc2/Complex_380e56f40c7c630b87344325260c6268;http://pathwaycommons.org/pc2/Protein_ff2f9f15c7575e83f72340ceab584f1f;http://pathwaycommons.org/pc2/Complex_8f2866f5e5eb30b74890ab164169d408;http://pathwaycommons.org/pc2/Protein_7a068fcf12708d1e3fa42748d5922e44	http://identifiers.org/reactome/R-HSA-6784763;http://identifiers.org/reactome/R-HSA-2671855;http://identifiers.org/reactome/R-HSA-5672980;http://identifiers.org/reactome/R-HSA-5674385;http://identifiers.org/reactome/R-HSA-2671747;http://identifiers.org/reactome/R-HSA-3790137;http://identifiers.org/reactome/R-HSA-5672978;http://identifiers.org/reactome/R-HSA-452102;http://identifiers.org/reactome/R-HSA-2671839;http://identifiers.org/reactome/R-HSA-5672973;http://identifiers.org/reactome/R-HSA-4093339;http://identifiers.org/reactome/R-HSA-1112708;http://identifiers.org/reactome/R-HSA-5672972;http://identifiers.org/reactome/R-HSA-3790130;http://identifiers.org/reactome/R-HSA-171011;http://identifiers.org/reactome/R-HSA-1112565;http://identifiers.org/reactome/R-HSA-2671868;http://identifiers.org/reactome/R-HSA-73945;http://identifiers.org/reactome/R-HSA-2671829;http://identifiers.org/reactome/R-HSA-2671742;http://identifiers.org/reactome/R-HSA-500366;http://identifiers.org/reactome/R-HSA-3857348;http://identifiers.org/reactome/R-HSA-6784765;http://identifiers.org/reactome/R-HSA-2671872;http://identifiers.org/reactome/R-HSA-3465459;http://identifiers.org/reactome/R-HSA-383313;http://identifiers.org/reactome/R-HSA-2671876;http://identifiers.org/reactome/R-HSA-2671850;http://identifiers.org/reactome/R-HSA-381309;http://identifiers.org/reactome/R-HSA-507937;http://identifiers.org/reactome/R-HSA-2586559;http://identifiers.org/reactome/R-HSA-8944104;http://identifiers.org/reactome/R-HSA-1112703;http://identifiers.org/reactome/R-HSA-422048;http://identifiers.org/reactome/R-HSA-4093331;http://identifiers.org/reactome/R-HSA-2889036
