#k	#Members	Members
-1	57	http://pathwaycommons.org/pc2/Protein_9e01e397971aa584bea65f4a887cb0b4;http://pathwaycommons.org/pc2/Protein_f13aa77683e38b8b759463ea3b573f23;http://pathwaycommons.org/pc2/Complex_dd7871812bb178dd406e8841f2631f94;http://pathwaycommons.org/pc2/Complex_3079b155ab96e3a35c6049e6d1b45950;http://pathwaycommons.org/pc2/Complex_6c1e3665b905e128f4a9b503b7eadb31;http://pathwaycommons.org/pc2/Complex_9c479197b6020cd871d77667a15a8aae;http://pathwaycommons.org/pc2/Protein_916f1fcd25e242b5d29e084df520829f;http://pathwaycommons.org/pc2/Protein_c13146379a3a3b41b4a645f3890b56cb;http://pathwaycommons.org/pc2/Complex_34e87910625962ac80bfd8159a45d0b9;http://pathwaycommons.org/pc2/Protein_83d830ecc88e139e16a3204c499d3f50;http://pathwaycommons.org/pc2/Protein_c0d54d3d5b4fb8d23ab057ac65db8cfd;http://pathwaycommons.org/pc2/Complex_f7aa7bb803571ec68d70b3535621cbef;http://pathwaycommons.org/pc2/Complex_69caa52650c84e26fc219e3116da6801;http://pathwaycommons.org/pc2/Complex_00ebebc1e46770d6611b24b197e4a37d;http://pathwaycommons.org/pc2/Protein_c6ae1b371b18a339de8757cd74838b44;http://pathwaycommons.org/pc2/Complex_149f3c34915f7caa5f7c847f1056870f;http://pathwaycommons.org/pc2/Protein_dbfdb39a0f8e7d3d28e52f92b9381a79;http://pathwaycommons.org/pc2/Protein_9adb32bb35e0e7d7ca824b926cffe44c;http://pathwaycommons.org/pc2/Complex_69d349f4a189f2752ac42222d4779ef4;http://pathwaycommons.org/pc2/Protein_7dcddd9a950547cc8002c689da0073f8;http://pathwaycommons.org/pc2/Complex_eb28633e3847bce864bb688eddafea96;http://pathwaycommons.org/pc2/Complex_aa258031507e3e9425bd32a2b77b1f97;http://pathwaycommons.org/pc2/Complex_a6629f91a7a3e9a516ee9b581196ac47;http://pathwaycommons.org/pc2/Protein_c94a1fd23c4978f7f337888de29c0584;http://pathwaycommons.org/pc2/Complex_86b2fd3d5f4b1306b9159ae3721771fc;http://pathwaycommons.org/pc2/Protein_8795ff89c38d6c2595fff1ab6f86dfeb;http://pathwaycommons.org/pc2/Complex_ec76e5050aa706acca442c76cdbc8ca4;http://pathwaycommons.org/pc2/Complex_542bc194c9e03f33207c1675d5be438a;http://pathwaycommons.org/pc2/Protein_30e8f5c402480d53f443687373b2c2a1;http://pathwaycommons.org/pc2/Protein_e00ffb9de199f0ae455d86ba9a9f61ff;http://pathwaycommons.org/pc2/Complex_a7391f21ef7c5b1b09abda88cd263830;http://pathwaycommons.org/pc2/Protein_73efb676f9520107a639e716cb6b4638;http://pathwaycommons.org/pc2/Complex_61b1e460603d5cb0c756698b693ed831;http://pathwaycommons.org/pc2/Complex_a9e5e0f354de0929193d3c4c6d8bf1a5;http://pathwaycommons.org/pc2/Protein_a7d759157aa2e8b0be50d53ed9e40741;http://pathwaycommons.org/pc2/Protein_3f21ed4476ab1ebfbbf33828e381733a;http://pathwaycommons.org/pc2/Complex_f3ae84b8959dc058e4c5e87fc7f71c6c;http://pathwaycommons.org/pc2/Protein_2a9fd7ff05138bf3bc6344bebbb541fc;http://pathwaycommons.org/pc2/Protein_1dceda8d88e0e2a20174c972e4056d9e;http://pathwaycommons.org/pc2/Complex_7d5fcef5e604eaaeff42e419158c02cb;http://pathwaycommons.org/pc2/Complex_ffd86d0ed3e3cb9a4be08a1b716555a6;http://pathwaycommons.org/pc2/Protein_704b43b2bdca4b8a0879208f70bf9849;http://pathwaycommons.org/pc2/Complex_5ea7b592da838f1fd82274fac2d73ffb;http://pathwaycommons.org/pc2/Protein_4fabd572612bd217a656b28a3861747b;http://pathwaycommons.org/pc2/Complex_be711bcc91970a46b329fff2c5395ed1;http://pathwaycommons.org/pc2/Complex_2949eccfef4f541dcceb2087ab952280;http://pathwaycommons.org/pc2/Protein_62c9493ff2804b997a35c45a57334446;http://pathwaycommons.org/pc2/Protein_b43eb950afddcbb897d1c85b8d95cb5b;http://pathwaycommons.org/pc2/Complex_de274ef678af10d5f41b4547ce940ca3;http://pathwaycommons.org/pc2/Protein_2fb83126c4065becb87769d083f76f45;http://pathwaycommons.org/pc2/Complex_2ae48cc5cffba7e31cbfc83b507d2494;http://pathwaycommons.org/pc2/Protein_24b6510a7dd94777ddeb773eca5ddabe;http://pathwaycommons.org/pc2/Protein_125fdb5570a5037994bd49d6d8cd35de;http://pathwaycommons.org/pc2/Protein_59726735643d56ce203916a6c0a23f40;http://pathwaycommons.org/pc2/Protein_5453d9f82b35a1b6afab3f41bb90504b;http://pathwaycommons.org/pc2/Protein_5de42bc4e551ea570db85979065b1d32;http://pathwaycommons.org/pc2/Complex_f69bd573f9c5d8880060a2d9e8c4221e
0	57	http://pathwaycommons.org/pc2/Protein_9e01e397971aa584bea65f4a887cb0b4;http://pathwaycommons.org/pc2/Protein_f13aa77683e38b8b759463ea3b573f23;http://pathwaycommons.org/pc2/Complex_dd7871812bb178dd406e8841f2631f94;http://pathwaycommons.org/pc2/Complex_3079b155ab96e3a35c6049e6d1b45950;http://pathwaycommons.org/pc2/Complex_6c1e3665b905e128f4a9b503b7eadb31;http://pathwaycommons.org/pc2/Complex_9c479197b6020cd871d77667a15a8aae;http://pathwaycommons.org/pc2/Protein_916f1fcd25e242b5d29e084df520829f;http://pathwaycommons.org/pc2/Protein_c13146379a3a3b41b4a645f3890b56cb;http://pathwaycommons.org/pc2/Complex_34e87910625962ac80bfd8159a45d0b9;http://pathwaycommons.org/pc2/Protein_c0d54d3d5b4fb8d23ab057ac65db8cfd;http://pathwaycommons.org/pc2/Protein_83d830ecc88e139e16a3204c499d3f50;http://pathwaycommons.org/pc2/Complex_69caa52650c84e26fc219e3116da6801;http://pathwaycommons.org/pc2/Complex_00ebebc1e46770d6611b24b197e4a37d;http://pathwaycommons.org/pc2/Complex_f7aa7bb803571ec68d70b3535621cbef;http://pathwaycommons.org/pc2/Protein_c6ae1b371b18a339de8757cd74838b44;http://pathwaycommons.org/pc2/Complex_149f3c34915f7caa5f7c847f1056870f;http://pathwaycommons.org/pc2/Protein_dbfdb39a0f8e7d3d28e52f92b9381a79;http://pathwaycommons.org/pc2/Protein_7dcddd9a950547cc8002c689da0073f8;http://pathwaycommons.org/pc2/Protein_9adb32bb35e0e7d7ca824b926cffe44c;http://pathwaycommons.org/pc2/Complex_69d349f4a189f2752ac42222d4779ef4;http://pathwaycommons.org/pc2/Complex_eb28633e3847bce864bb688eddafea96;http://pathwaycommons.org/pc2/Complex_aa258031507e3e9425bd32a2b77b1f97;http://pathwaycommons.org/pc2/Complex_86b2fd3d5f4b1306b9159ae3721771fc;http://pathwaycommons.org/pc2/Complex_a6629f91a7a3e9a516ee9b581196ac47;http://pathwaycommons.org/pc2/Protein_c94a1fd23c4978f7f337888de29c0584;http://pathwaycommons.org/pc2/Protein_8795ff89c38d6c2595fff1ab6f86dfeb;http://pathwaycommons.org/pc2/Complex_ec76e5050aa706acca442c76cdbc8ca4;http://pathwaycommons.org/pc2/Complex_542bc194c9e03f33207c1675d5be438a;http://pathwaycommons.org/pc2/Protein_30e8f5c402480d53f443687373b2c2a1;http://pathwaycommons.org/pc2/Protein_e00ffb9de199f0ae455d86ba9a9f61ff;http://pathwaycommons.org/pc2/Complex_a7391f21ef7c5b1b09abda88cd263830;http://pathwaycommons.org/pc2/Protein_73efb676f9520107a639e716cb6b4638;http://pathwaycommons.org/pc2/Complex_a9e5e0f354de0929193d3c4c6d8bf1a5;http://pathwaycommons.org/pc2/Protein_a7d759157aa2e8b0be50d53ed9e40741;http://pathwaycommons.org/pc2/Protein_3f21ed4476ab1ebfbbf33828e381733a;http://pathwaycommons.org/pc2/Complex_f3ae84b8959dc058e4c5e87fc7f71c6c;http://pathwaycommons.org/pc2/Protein_1dceda8d88e0e2a20174c972e4056d9e;http://pathwaycommons.org/pc2/Complex_ffd86d0ed3e3cb9a4be08a1b716555a6;http://pathwaycommons.org/pc2/Protein_2a9fd7ff05138bf3bc6344bebbb541fc;http://pathwaycommons.org/pc2/Complex_7d5fcef5e604eaaeff42e419158c02cb;http://pathwaycommons.org/pc2/Protein_704b43b2bdca4b8a0879208f70bf9849;http://pathwaycommons.org/pc2/Complex_5ea7b592da838f1fd82274fac2d73ffb;http://pathwaycommons.org/pc2/Protein_4fabd572612bd217a656b28a3861747b;http://pathwaycommons.org/pc2/Complex_be711bcc91970a46b329fff2c5395ed1;http://pathwaycommons.org/pc2/Complex_2949eccfef4f541dcceb2087ab952280;http://pathwaycommons.org/pc2/Protein_62c9493ff2804b997a35c45a57334446;http://pathwaycommons.org/pc2/Complex_f69bd573f9c5d8880060a2d9e8c4221e;http://pathwaycommons.org/pc2/Protein_b43eb950afddcbb897d1c85b8d95cb5b;http://pathwaycommons.org/pc2/Complex_de274ef678af10d5f41b4547ce940ca3;http://pathwaycommons.org/pc2/Protein_2fb83126c4065becb87769d083f76f45;http://pathwaycommons.org/pc2/Complex_2ae48cc5cffba7e31cbfc83b507d2494;http://pathwaycommons.org/pc2/Protein_24b6510a7dd94777ddeb773eca5ddabe;http://pathwaycommons.org/pc2/Protein_125fdb5570a5037994bd49d6d8cd35de;http://pathwaycommons.org/pc2/Protein_59726735643d56ce203916a6c0a23f40;http://pathwaycommons.org/pc2/Protein_5453d9f82b35a1b6afab3f41bb90504b;http://pathwaycommons.org/pc2/Protein_5de42bc4e551ea570db85979065b1d32;http://pathwaycommons.org/pc2/Complex_61b1e460603d5cb0c756698b693ed831
1	28	http://pathwaycommons.org/pc2/Complex_d5002a9d0a4608c55f8f96fbb9ad18bd;http://pathwaycommons.org/pc2/Complex_3810bf0a27a7b7a57f89f96784dfff16;http://pathwaycommons.org/pc2/Complex_2d3772cc451fe3a9657416757aaf2292;http://pathwaycommons.org/pc2/Complex_cc4807de676b1d3a4900055fe65c880d;http://pathwaycommons.org/pc2/Complex_6c2a6ca2f082856909a997fa60bb808a;http://pathwaycommons.org/pc2/Complex_8a48622acdf23de1eea3d203b58e72d6;http://pathwaycommons.org/pc2/Complex_760602369c77499269655c4fc4bf5594;http://pathwaycommons.org/pc2/Complex_4ea00eae54ed4d59c85689dacf619920;http://pathwaycommons.org/pc2/Complex_14520f3f2644597337427913df402454;http://pathwaycommons.org/pc2/Protein_924264dc6d406671f6972e86cbd4c1c1;http://pathwaycommons.org/pc2/Complex_c4339a1ec0a29f53b0a003c821799952;http://pathwaycommons.org/pc2/Complex_997de520f0440c21ba3f552edc295b94;http://pathwaycommons.org/pc2/Complex_ac1e58791766e896f440b14a46ba0b54;http://pathwaycommons.org/pc2/Protein_f22d43f87b130aaf04444a4a55eb601a;http://pathwaycommons.org/pc2/Complex_d4344069850ede2cc9f86c34ca241ed6;http://pathwaycommons.org/pc2/Complex_a42348b75a4bbf00577840ee4acec488;http://pathwaycommons.org/pc2/Complex_47e2e53528472e58a34112da410b9b9a;http://pathwaycommons.org/pc2/Complex_554608d13670c1fd5a19c329d7fedd70;http://pathwaycommons.org/pc2/Protein_b106fa9cd6ab5445ea8bbef67f9c6c91;http://pathwaycommons.org/pc2/Complex_c6d545801ee16f7125cc5671d828e948;http://pathwaycommons.org/pc2/Protein_9d57795d7cf1280649e345e2dbd445f4;http://pathwaycommons.org/pc2/Complex_8cd99c1d6915392b1a18cdbaf59eda6e;http://pathwaycommons.org/pc2/Complex_ab92b9a823f71178ba0d490855ad09e4;http://pathwaycommons.org/pc2/Complex_fab4a58b5547a0edf920cc3500550e8a;http://pathwaycommons.org/pc2/Complex_2d9feaa83f92a56d5f30747598ff9f29;http://pathwaycommons.org/pc2/Protein_3a4cdd87bb51ab647e43fc9c935096d6;http://pathwaycommons.org/pc2/PhysicalEntity_ec51e47543f84051c5b8d54df968e365;http://pathwaycommons.org/pc2/Complex_86a196f325e31a55120cd1333cd8c901
2	15	http://pathwaycommons.org/pc2/Complex_fe52ce69303bb29634242c8f933654c9;http://pathwaycommons.org/pc2/PhysicalEntity_98c2b1b8844e438ec77eaf8ee8ec2e00;http://pathwaycommons.org/pc2/Complex_068c8aeaf629dd32f09822e90e10b8ed;http://pathwaycommons.org/pc2/Protein_9c1ac64cabeaf14e4b49ca3955e47f22;http://pathwaycommons.org/pc2/Protein_5d848d408469733b684b0dc5630309ed;http://pathwaycommons.org/pc2/Complex_ccd9c27a4328a77e6fa4942471915d74;http://pathwaycommons.org/pc2/Complex_94e8e070655c10cfb80a12421fa19d55;http://pathwaycommons.org/pc2/Complex_aa365c810e7e59394d6c8dd0c426ead9;http://pathwaycommons.org/pc2/Protein_63db8e04c10018fb9854a57ae152e45e;http://pathwaycommons.org/pc2/Complex_d613e3e32cf599e87583aae017e8920c;http://pathwaycommons.org/pc2/Protein_01b87cc557f07a390d72ae0c6ee9684c;http://pathwaycommons.org/pc2/Complex_8b3473122a3481dcd20577c07626804d;http://pathwaycommons.org/pc2/Complex_5a00b0c6de04c104db203e7f9d6d7864;http://pathwaycommons.org/pc2/Complex_2f782fcea4a16397c8c2f667584258f0;http://pathwaycommons.org/pc2/Complex_871db682471577685d3deb24ce020636
3	20	http://pathwaycommons.org/pc2/Complex_4ddda16afaf96b3f70d23cf74f0da238;http://pathwaycommons.org/pc2/Complex_5b86c6bd5c3b8de9531cbba1bbd02385;http://pathwaycommons.org/pc2/Complex_0a922595db38707e5538c8677fbaeaa8;http://pathwaycommons.org/pc2/Complex_00a67133c8f6f0f99e028670f1afba2b;http://pathwaycommons.org/pc2/Protein_3714fbb2e6f66615c06ae5143b3b5f98;http://pathwaycommons.org/pc2/Protein_70b52cd0668ee2d6c98df0ff5e0415e2;http://pathwaycommons.org/pc2/Complex_d26179efb9c94d6900ecf83cdc1ed8ae;http://pathwaycommons.org/pc2/Complex_044fdf635238471ab152b0837565a18c;http://pathwaycommons.org/pc2/PhysicalEntity_2c0b955e9cb17b2798a9b22311b859d4;http://pathwaycommons.org/pc2/Complex_05443ed5056cd09846174e270d1f441f;http://pathwaycommons.org/pc2/Complex_c4955b1550ff01649df35a5af5e98483;http://pathwaycommons.org/pc2/Complex_3f2de9d5204a16f992a59fc5ecccb122;http://pathwaycommons.org/pc2/Protein_98eea6f02dc6b25f51a416bd6ef10a58;http://pathwaycommons.org/pc2/Complex_ee60983892d92ff221b88db43a5cefac;http://pathwaycommons.org/pc2/Complex_1d6ae98eb9f5e0a7f1a30f836bee92a2;http://pathwaycommons.org/pc2/Complex_65d9d39694d4c3fd3d26305f928a8743;http://pathwaycommons.org/pc2/Complex_0d0b41f1b98c35b53b816673d72cd4d1;http://pathwaycommons.org/pc2/Protein_d2c863c41aad8617738852a0ebcc6e3c;http://pathwaycommons.org/pc2/Complex_7818c4b57af32019cd04f5a9f50a52de;http://pathwaycommons.org/pc2/Complex_2662a082e295a6b6073ae85286123a0e
4	9	http://pathwaycommons.org/pc2/Complex_311136f62da6a3587e3483516ab187cb;http://pathwaycommons.org/pc2/Protein_b339f7beb3ee5a7d8399cec909cbe0d5;http://pathwaycommons.org/pc2/Complex_c3a9d488f80a3e69b90dcf1f20d21439;http://pathwaycommons.org/pc2/Complex_7483f34b05030af1c4a5bdb60bb4bf8f;http://pathwaycommons.org/pc2/Complex_aeb160ea10925e76815f32cb2a05282a;http://pathwaycommons.org/pc2/Complex_5df8ae279fdebead3d31223031b7ed9b;http://pathwaycommons.org/pc2/Complex_2fd8e44e8556dff0d38a75ca96717239;http://pathwaycommons.org/pc2/Complex_4301c6b60f74a1024b7ccb62881fcf94;http://pathwaycommons.org/pc2/Complex_e7a1dbfc2b979bd2833a546af3834dcc
5	7	http://pathwaycommons.org/pc2/Complex_f33fcdb8d1282d42e80aa59ef152507c;http://pathwaycommons.org/pc2/Complex_d105acc8c01b4dc4517658a4b826c85e;http://pathwaycommons.org/pc2/Complex_24aaed33b506819dd50149837771ef24;http://pathwaycommons.org/pc2/Complex_f6b6657bac629eb442e0f0c71b4b2c8f;http://pathwaycommons.org/pc2/PhysicalEntity_281540855356f5e4154d7b50e38f22ad;http://pathwaycommons.org/pc2/Complex_1780e2efae1b12a54f17c4f0ed209b53;http://pathwaycommons.org/pc2/Complex_38b5e7c5c2d99426a1bcbe007fb96c66
6	2	http://pathwaycommons.org/pc2/Complex_75c86feff23a5009aa8c65ad32cc04ef;http://pathwaycommons.org/pc2/PhysicalEntity_3734200caf516f83d1ea25c5a8ef6784
7	4	http://pathwaycommons.org/pc2/Complex_bec73cc2d24106e3cc52f189657b56d5;http://pathwaycommons.org/pc2/Complex_36ffbe26f56d546ebbe2baab2fd729d8;http://pathwaycommons.org/pc2/PhysicalEntity_2dd2b3b9dae6d3aff88894308328a38f;http://pathwaycommons.org/pc2/Complex_d6ef9f72f023b408004d14bbcb52fb4f
8	5	http://pathwaycommons.org/pc2/PhysicalEntity_2d4be2bbe51dc169b4d1c0db2749d1b8;http://pathwaycommons.org/pc2/Complex_4697452fe9aaef8a2b7b1ffcb1ca073d;http://pathwaycommons.org/pc2/Complex_4f96f00a64ca210bc22366f5f9afb03f;http://pathwaycommons.org/pc2/Complex_2f4a4c1aa45832d17adcac3f5de2c802;http://pathwaycommons.org/pc2/Complex_8a31c78c430858e61022307a0b1ea959
