#HyperedgeIdentifier	NumBVisit	BVisitNodes	TraversedHedges	RestrictiveHedges
http://identifiers.org/reactome/R-HSA-449855	1	http://pathwaycommons.org/pc2/Complex_9fb0359cacbba28f62d7f7b4cfcf1f7f		http://identifiers.org/reactome/R-HSA-449803
http://identifiers.org/reactome/R-HSA-8964561	1	http://pathwaycommons.org/pc2/Complex_b79ae7d7a30c42254c2c64e65e8f6133		http://identifiers.org/reactome/R-HSA-8978926
http://identifiers.org/reactome/R-HSA-8964567	1	http://pathwaycommons.org/pc2/Complex_3c4a3b469df1ec524cbab4b4f706bb2a		http://identifiers.org/reactome/R-HSA-8961934
http://identifiers.org/reactome/R-HSA-8964580	1	http://pathwaycommons.org/pc2/Complex_3e45856ad87b71029f09fa99b3e076f1		http://identifiers.org/reactome/R-HSA-8964588
http://identifiers.org/reactome/R-HSA-8948219	1	http://pathwaycommons.org/pc2/Complex_7c380b8160f24497f5fb73094097eea8		http://identifiers.org/reactome/R-HSA-1981128
http://identifiers.org/reactome/R-HSA-418576	4	http://pathwaycommons.org/pc2/Protein_f47c7bb1c7b003bf177dcf36677cb1e6;http://pathwaycommons.org/pc2/Complex_9e667aadd84bf731ab5a565572201edd;http://pathwaycommons.org/pc2/Complex_75e81c6e3daae1c031ca86914604c308;http://pathwaycommons.org/pc2/Complex_6e7e829922ea9341cb055b1ba67aadbe	http://identifiers.org/reactome/R-HSA-417908	http://identifiers.org/reactome/R-HSA-750993;http://identifiers.org/reactome/R-HSA-418582;http://identifiers.org/reactome/R-HSA-398188;http://identifiers.org/reactome/R-HSA-418581;http://identifiers.org/reactome/R-HSA-400586;http://identifiers.org/reactome/R-HSA-416510;http://identifiers.org/reactome/R-HSA-416516;http://identifiers.org/reactome/R-HSA-750988;http://identifiers.org/reactome/R-HSA-398040;http://identifiers.org/reactome/R-HSA-751039;http://identifiers.org/reactome/R-HSA-751001;http://identifiers.org/reactome/R-HSA-428941;http://identifiers.org/reactome/R-HSA-416358;http://identifiers.org/reactome/R-HSA-167433;http://identifiers.org/reactome/R-HSA-751013;http://identifiers.org/reactome/R-HSA-392295
http://identifiers.org/reactome/R-HSA-74947	2	http://pathwaycommons.org/pc2/Protein_3d544aa174c084cea597193021c36934;http://pathwaycommons.org/pc2/Protein_3be4c090d6b6701083b32f5d02d2048c		http://identifiers.org/reactome/R-HSA-2581488;http://identifiers.org/reactome/R-HSA-74948
http://identifiers.org/reactome/R-HSA-936942	2	http://pathwaycommons.org/pc2/PhysicalEntity_c213a6f235a06909cb3dfc9b0d0cca50;http://pathwaycommons.org/pc2/Complex_c4b3e106d0b715695f285466510a420a	http://identifiers.org/reactome/R-HSA-936986	http://identifiers.org/reactome/R-HSA-202453;http://identifiers.org/reactome/R-HSA-975122;http://identifiers.org/reactome/R-HSA-168915;http://identifiers.org/reactome/R-HSA-5668414;http://identifiers.org/reactome/R-HSA-688137;http://identifiers.org/reactome/R-HSA-741386;http://identifiers.org/reactome/R-HSA-5607757;http://identifiers.org/reactome/R-HSA-975097;http://identifiers.org/reactome/R-HSA-9014342;http://identifiers.org/reactome/R-HSA-937050;http://identifiers.org/reactome/R-HSA-936960;http://identifiers.org/reactome/R-HSA-975118;http://identifiers.org/reactome/R-HSA-2730904;http://identifiers.org/reactome/R-HSA-202534;http://identifiers.org/reactome/R-HSA-5688797;http://identifiers.org/reactome/R-HSA-5667111;http://identifiers.org/reactome/R-HSA-5246693;http://identifiers.org/reactome/R-HSA-5691431;http://identifiers.org/reactome/R-HSA-5696547;http://identifiers.org/reactome/R-HSA-5357757;http://identifiers.org/reactome/R-HSA-5607756;http://identifiers.org/reactome/R-HSA-936947;http://identifiers.org/reactome/R-HSA-177690;http://identifiers.org/reactome/R-HSA-918224
http://identifiers.org/reactome/R-HSA-109822	3	http://pathwaycommons.org/pc2/Complex_32eeabfaeabcbb511c1b0139e5e7d419;http://pathwaycommons.org/pc2/Protein_cd8087461229a825368446206cc015d5;http://pathwaycommons.org/pc2/Complex_0f8ed34ebb1d3c0af0a02dda61a057af	http://identifiers.org/reactome/R-HSA-5686074	http://identifiers.org/reactome/R-HSA-74748;http://identifiers.org/reactome/R-HSA-74746
http://identifiers.org/reactome/R-HSA-5358919	1	http://pathwaycommons.org/pc2/Complex_594d1f40e54345fcd4c679a41e7f53ea		http://identifiers.org/reactome/R-HSA-5358519
http://identifiers.org/reactome/R-HSA-1236956	3	http://pathwaycommons.org/pc2/PhysicalEntity_10e7dad8779b91f434bd95e04bf69a1a;http://pathwaycommons.org/pc2/PhysicalEntity_b076ca3d6589e05b28493cd00b59d8eb;http://pathwaycommons.org/pc2/PhysicalEntity_20a5fac39875e43248dc49914766f554	http://identifiers.org/reactome/R-HSA-1236963	http://identifiers.org/reactome/R-HSA-1236938
http://identifiers.org/reactome/R-HSA-2023456	2	http://pathwaycommons.org/pc2/Complex_966894ea1ad6a0159875e5fe7acb5b2f;http://pathwaycommons.org/pc2/Complex_74b48246d92c793f33cdf3f151fccc84	http://identifiers.org/reactome/R-HSA-2023460	
http://identifiers.org/reactome/R-HSA-5691001	1	http://pathwaycommons.org/pc2/Complex_7ac3315aed026f99bb315bef191dad8a		http://identifiers.org/reactome/R-HSA-5690997
http://identifiers.org/reactome/R-HSA-428883	1	http://pathwaycommons.org/pc2/Complex_d15e1b92a93021b7aeb3732d8f39a3e4		
http://identifiers.org/reactome/R-HSA-113429	19	http://pathwaycommons.org/pc2/Complex_88eefa09eea3df6529ee2788834e63f0;http://pathwaycommons.org/pc2/Protein_65f8fe42a4653fc4662a4aae07d207c1;http://pathwaycommons.org/pc2/Complex_8a1111d463caeea9bcc3ed262db8f1f5;http://pathwaycommons.org/pc2/Complex_231a69bccdec3a9988bb7839fb3118b8;http://pathwaycommons.org/pc2/Complex_633b217a9fd5c48e4ae4117c9bca2302;http://pathwaycommons.org/pc2/Protein_c6948cfd4c102d2de3d9abb1ccbfafef;http://pathwaycommons.org/pc2/Protein_1adf1c72459d9817a08db9d2dda13223;http://pathwaycommons.org/pc2/Complex_a17cb0bf110cf895782eeae3bf4ec49a;http://pathwaycommons.org/pc2/Protein_dfc32dea39ea8c61fac21526aac7ef6e;http://pathwaycommons.org/pc2/Protein_71298ea4cd2770b5008d4699fd65870b;http://pathwaycommons.org/pc2/Protein_05311e8f95b701803fad068103b87168;http://pathwaycommons.org/pc2/Protein_05f0f30d5f408bcc6939c79e3fe64f82;http://pathwaycommons.org/pc2/Complex_79eb8ed05d4fc01563f3b18f3ee3e2bf;http://pathwaycommons.org/pc2/Protein_10863929065a8793704c184ab79fea3b;http://pathwaycommons.org/pc2/Complex_68f51dd766d7d7d32cc6432beafde776;http://pathwaycommons.org/pc2/PhysicalEntity_e3c6ea40057f600f72ae39005a95042e;http://pathwaycommons.org/pc2/Protein_7c67066d54a51a4d2694cc9c218de82c;http://pathwaycommons.org/pc2/Complex_7d5d3b4df77d1df3b3fb66cf95598c3c;http://pathwaycommons.org/pc2/Protein_8a9f584e8a2a69d1c6a41632138539ef		http://identifiers.org/reactome/R-HSA-8942099;http://identifiers.org/reactome/R-HSA-167084;http://identifiers.org/reactome/R-HSA-112383;http://identifiers.org/reactome/R-HSA-6810234;http://identifiers.org/reactome/R-HSA-6805061;http://identifiers.org/reactome/R-HSA-112381;http://identifiers.org/reactome/R-HSA-167083;http://identifiers.org/reactome/R-HSA-167072;http://identifiers.org/reactome/R-HSA-113407;http://identifiers.org/reactome/R-HSA-6782234;http://identifiers.org/reactome/R-HSA-6782004;http://identifiers.org/reactome/R-HSA-167085;http://identifiers.org/reactome/R-HSA-112379;http://identifiers.org/reactome/R-HSA-167196;http://identifiers.org/reactome/R-HSA-167077;http://identifiers.org/reactome/R-HSA-6814549;http://identifiers.org/reactome/R-HSA-113402
