Signaling-by-EGFR	Signaling-by-ERBB2	Signaling-by-ERBB4	PI3K-AKT-Signaling	Signaling-by-MET	Signaling-by-FGFR	ERK1-ERK2-pathway	Signaling-by-Type-1-Insulin-like-Growth-Factor-1-Receptor-(IGF1R)	Signaling-by-Insulin-receptor	Integrin-signaling	Signaling-by-GPCR	DAG-and-IP3-signaling	Signaling-by-PDGF	Signaling-by-VEGF	Signaling-by-NTRKs	Signaling-by-WNT	TNF-signaling	Signaling-by-PTK6	Signaling-by-TGF-beta-Receptor-Complex	TRAIL-signaling	FasL--CD95L-signaling	Signaling-by-NOTCH	Signaling-by-BMP	Signaling-by-Activin	MAPK6-MAPK4-signaling	p75-NTR-receptor-mediated-signalling	Signaling-by-SCF-KIT	Signaling-by-Hedgehog	Signaling-by-Nuclear-Receptors	Signaling-by-Leptin	Signaling-by-Hippo	Signaling-by-Rho-GTPases	Signaling-by-MST1	mTOR-signalling
Signaling-by-EGFR	1.0	0.3069306930693069	0.24752475247524752	0.2376237623762376	0.3465346534653465	0.27722772277227725	0.2376237623762376	0.07920792079207921	0.0891089108910891	0.039603960396039604	0.0891089108910891	0.009900990099009901	0.10891089108910891	0.04950495049504951	0.13861386138613863	0.13861386138613863	0.1485148514851485	0.18811881188118812	0.1485148514851485	0.0	0.0	0.16831683168316833	0.0	0.0	0.1485148514851485	0.16831683168316833	0.0891089108910891	0.1485148514851485	0.0	0.009900990099009901	0.0	0.039603960396039604	0.0	0.0
Signaling-by-ERBB2	0.29523809523809524	1.0	0.2857142857142857	0.34285714285714286	0.23809523809523808	0.22857142857142856	0.3238095238095238	0.08571428571428572	0.08571428571428572	0.0380952380952381	0.09523809523809523	0.009523809523809525	0.10476190476190476	0.09523809523809523	0.13333333333333333	0.1523809523809524	0.13333333333333333	0.2761904761904762	0.1619047619047619	0.0	0.0	0.14285714285714285	0.0	0.0	0.13333333333333333	0.1619047619047619	0.0761904761904762	0.13333333333333333	0.0	0.0	0.0	0.05714285714285714	0.0	0.0
Signaling-by-ERBB4	0.2717391304347826	0.32608695652173914	1.0	0.2717391304347826	0.21739130434782608	0.21739130434782608	0.29347826086956524	0.06521739130434782	0.07608695652173914	0.03260869565217391	0.09782608695652174	0.0	0.06521739130434782	0.021739130434782608	0.07608695652173914	0.15217391304347827	0.17391304347826086	0.22826086956521738	0.16304347826086957	0.0	0.0	0.20652173913043478	0.0	0.0	0.15217391304347827	0.18478260869565216	0.06521739130434782	0.17391304347826086	0.10869565217391304	0.0	0.021739130434782608	0.021739130434782608	0.0	0.0
PI3K-AKT-Signaling	0.07207207207207207	0.10810810810810811	0.07507507507507508	1.0	0.07807807807807808	0.2072072072072072	0.21021021021021022	0.08108108108108109	0.08708708708708708	0.009009009009009009	0.036036036036036036	0.006006006006006006	0.03303303303303303	0.04804804804804805	0.03303303303303303	0.07807807807807808	0.04504504504504504	0.06306306306306306	0.04804804804804805	0.0	0.0	0.07807807807807808	0.0	0.0	0.06006006006006006	0.06606606606606606	0.03003003003003003	0.05105105105105105	0.021021021021021023	0.0	0.0	0.03003003003003003	0.0	0.05405405405405406
Signaling-by-MET	0.2892561983471074	0.2066115702479339	0.1652892561983471	0.21487603305785125	1.0	0.2066115702479339	0.23140495867768596	0.06611570247933884	0.06611570247933884	0.06611570247933884	0.05785123966942149	0.0	0.09917355371900827	0.05785123966942149	0.1322314049586777	0.1322314049586777	0.11570247933884298	0.21487603305785125	0.12396694214876033	0.0	0.0	0.11570247933884298	0.0	0.0	0.1322314049586777	0.12396694214876033	0.09917355371900827	0.11570247933884298	0.0	0.04132231404958678	0.0	0.04132231404958678	0.024793388429752067	0.0
Signaling-by-FGFR	0.12669683257918551	0.1085972850678733	0.09049773755656108	0.31221719457013575	0.11312217194570136	1.0	0.3212669683257919	0.13122171945701358	0.13122171945701358	0.00904977375565611	0.03619909502262444	0.004524886877828055	0.04524886877828054	0.01809954751131222	0.07692307692307693	0.06334841628959276	0.06334841628959276	0.07692307692307693	0.06787330316742081	0.0	0.0	0.06334841628959276	0.0	0.0	0.06334841628959276	0.06787330316742081	0.04072398190045249	0.06334841628959276	0.027149321266968326	0.004524886877828055	0.0	0.02262443438914027	0.0	0.0
ERK1-ERK2-pathway	0.08247422680412371	0.11683848797250859	0.09278350515463918	0.24054982817869416	0.09621993127147767	0.24398625429553264	1.0	0.09965635738831616	0.10996563573883161	0.061855670103092786	0.09965635738831616	0.003436426116838488	0.041237113402061855	0.013745704467353952	0.037800687285223365	0.07216494845360824	0.048109965635738834	0.08247422680412371	0.048109965635738834	0.0	0.0	0.061855670103092786	0.0	0.0	0.054982817869415807	0.05154639175257732	0.03436426116838488	0.06529209621993128	0.006872852233676976	0.006872852233676976	0.006872852233676976	0.037800687285223365	0.0	0.003436426116838488
Signaling-by-Type-1-Insulin-like-Growth-Factor-1-Receptor-(IGF1R)	0.125	0.140625	0.09375	0.421875	0.125	0.453125	0.453125	1.0	0.734375	0.046875	0.140625	0.0	0.125	0.078125	0.15625	0.0	0.0	0.03125	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015625	0.109375	0.0	0.0	0.03125	0.0	0.046875	0.0	0.015625
Signaling-by-Insulin-receptor	0.11842105263157894	0.11842105263157894	0.09210526315789473	0.3815789473684211	0.10526315789473684	0.3815789473684211	0.42105263157894735	0.618421052631579	1.0	0.06578947368421052	0.11842105263157894	0.0	0.10526315789473684	0.06578947368421052	0.14473684210526316	0.0	0.0	0.02631578947368421	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013157894736842105	0.10526315789473684	0.0	0.0	0.02631578947368421	0.0	0.039473684210526314	0.0	0.013157894736842105
Integrin-signaling	0.07547169811320754	0.07547169811320754	0.05660377358490566	0.05660377358490566	0.1509433962264151	0.03773584905660377	0.33962264150943394	0.05660377358490566	0.09433962264150944	1.0	0.09433962264150944	0.0	0.11320754716981132	0.11320754716981132	0.09433962264150944	0.0	0.0	0.05660377358490566	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018867924528301886	0.05660377358490566	0.0	0.0	0.0	0.0	0.09433962264150944	0.0	0.018867924528301886
Signaling-by-GPCR	0.011306532663316583	0.01256281407035176	0.011306532663316583	0.01507537688442211	0.008793969849246231	0.010050251256281407	0.0364321608040201	0.011306532663316583	0.011306532663316583	0.00628140703517588	1.0	0.0364321608040201	0.008793969849246231	0.02386934673366834	0.02135678391959799	0.018844221105527637	0.0	0.007537688442211055	0.002512562814070352	0.0	0.0	0.005025125628140704	0.0	0.0	0.002512562814070352	0.020100502512562814	0.01507537688442211	0.005025125628140704	0.002512562814070352	0.001256281407035176	0.0	0.032663316582914576	0.0	0.0
DAG-and-IP3-signaling	0.03125	0.03125	0.0	0.0625	0.0	0.03125	0.03125	0.0	0.0	0.0	0.90625	1.0	0.03125	0.3125	0.09375	0.125	0.0	0.0	0.0	0.0	0.0	0.03125	0.0	0.0	0.03125	0.0	0.03125	0.0	0.0	0.0	0.0	0.0625	0.0	0.0
Signaling-by-PDGF	0.1375	0.1375	0.075	0.1375	0.15	0.125	0.15	0.1	0.1	0.075	0.0875	0.0125	1.0	0.1375	0.175	0.0	0.0	0.075	0.0125	0.0	0.0	0.0125	0.0	0.0	0.0	0.0125	0.1375	0.0	0.0	0.025	0.0	0.0375	0.0	0.0
Signaling-by-VEGF	0.0273224043715847	0.0546448087431694	0.01092896174863388	0.08743169398907104	0.03825136612021858	0.02185792349726776	0.02185792349726776	0.0273224043715847	0.0273224043715847	0.03278688524590164	0.10382513661202186	0.0546448087431694	0.060109289617486336	1.0	0.09836065573770492	0.03278688524590164	0.0	0.06557377049180328	0.01092896174863388	0.0	0.0	0.0	0.0	0.0	0.06557377049180328	0.02185792349726776	0.04371584699453552	0.0	0.0	0.0	0.0	0.17486338797814208	0.0	0.00546448087431694
Signaling-by-NTRKs	0.07608695652173914	0.07608695652173914	0.03804347826086957	0.059782608695652176	0.08695652173913043	0.09239130434782608	0.059782608695652176	0.05434782608695652	0.059782608695652176	0.02717391304347826	0.09239130434782608	0.016304347826086956	0.07608695652173914	0.09782608695652174	1.0	0.0	0.0	0.03804347826086957	0.005434782608695652	0.0	0.0	0.005434782608695652	0.0	0.0	0.005434782608695652	0.02717391304347826	0.05434782608695652	0.0	0.010869565217391304	0.021739130434782608	0.005434782608695652	0.03260869565217391	0.0	0.005434782608695652
Signaling-by-WNT	0.04294478527607362	0.049079754601226995	0.04294478527607362	0.07975460122699386	0.049079754601226995	0.04294478527607362	0.06441717791411043	0.0	0.0	0.0	0.046012269938650305	0.012269938650306749	0.0	0.018404907975460124	0.0	1.0	0.049079754601226995	0.04294478527607362	0.06748466257668712	0.0	0.0	0.06748466257668712	0.009202453987730062	0.0	0.06441717791411043	0.046012269938650305	0.003067484662576687	0.08588957055214724	0.046012269938650305	0.0	0.003067484662576687	0.05521472392638037	0.0	0.0
