Signaling-by-MET	Signaling-by-Type-1-Insulin-like-Growth-Factor-1-Receptor-(IGF1R)	Signaling-by-Insulin-receptor	Signaling-by-EGFR	Signaling-by-ERBB2	Signaling-by-ERBB4	Signaling-by-SCF-KIT	Signaling-by-FGFR	ERK1-ERK2-pathway	Signaling-by-GPCR	Signaling-by-PDGF	Signaling-by-VEGF	DAG-and-IP3-signaling	Signaling-by-NTRKs	PI3K-AKT-Signaling	Signaling-by-WNT	Integrin-signaling	TNF-signaling	TRAIL-signaling	FasL--CD95L-signaling	Signaling-by-Activin	Signaling-by-TGF-beta-Receptor-Complex	Signaling-by-NOTCH	Signaling-by-PTK6	Signaling-by-Rho-GTPases	MAPK6-MAPK4-signaling	p75-NTR-receptor-mediated-signalling	Signaling-by-Hippo	mTOR-signalling	Signaling-by-Hedgehog	Signaling-by-Nuclear-Receptors	Signaling-by-Leptin	Signaling-by-BMP	Signaling-by-MST1
Signaling-by-MET	0.0	0.0048484848484848485	0.009696969696969697	0.23166023166023167	0.1865482233502538	0.18908629441624367	0.14088050314465408	0.17839195979899497	0.15143929912390489	0.07721046077210461	0.13819095477386933	0.059044048734770385	0.056179775280898875	0.11293634496919917	0.09655172413793103	0.06503298774740811	0.01237842617152962	0.004389815627743635	0.004389815627743635	0.004389815627743635	0.005309734513274336	0.006200177147918512	0.009769094138543518	0.04066543438077634	0.00881057268722467	0.0008795074758135445	0.0	0.0026041666666666665	0.0025996533795493936	0.0017574692442882249	0.0034782608695652175	0.004374453193350831	0.0008680555555555555	0.0008680555555555555
Signaling-by-Type-1-Insulin-like-Growth-Factor-1-Receptor-(IGF1R)	0.02450229709035222	0.0	0.006932409012131715	0.1984251968503937	0.165625	0.16875	0.15	0.1984375	0.16875	0.08722741433021806	0.15	0.06408839779005525	0.06063947078280044	0.11995104039167687	0.09929906542056074	0.06770255271920089	0.011446409989594173	0.002036659877800407	0.002036659877800407	0.002036659877800407	0.0051440329218107	0.0051440329218107	0.010330578512396695	0.011802575107296138	0.006269592476489028	0.0	0.0030706243602865915	0.00408997955010225	0.005128205128205128	0.0020408163265306124	0.00408997955010225	0.0	0.0010204081632653062	0.0
Signaling-by-Insulin-receptor	0.023121387283236993	0.0016233766233766235	0.0	0.19448698315467075	0.16172106824925817	0.16468842729970326	0.14561664190193166	0.19167904903417535	0.1632047477744807	0.08579881656804733	0.14540059347181009	0.0644468313641246	0.060445387062566275	0.11842105263157894	0.09775280898876404	0.0672358591248666	0.01001001001001001	0.0019588638589618022	0.0019588638589618022	0.0019588638589618022	0.004945598417408506	0.004945598417408506	0.009930486593843098	0.015463917525773196	0.010050251256281407	0.0	0.002952755905511811	0.003933136676499509	0.004930966469428008	0.001962708537782139	0.003937007874015748	0.0	0.0009813542688910696	0.0
Signaling-by-EGFR	0.007050528789659225	0.0023296447291788003	0.005859947260474656	0.0	0.00391717963066592	0.00392156862745098	0.008636363636363636	0.023255813953488372	0.014046216583597644	0.025451559934318555	0.007720254314259764	0.011235955056179775	0.0	0.00847098686997035	0.0	0.011796042617960426	0.00026860059092130003	0.006420545746388443	0.005607476635514018	0.005607476635514018	0.006263616557734205	0.007910529187124931	0.0062875888463641335	0.0015436863229391787	0.007819044959508517	0.0032379924446842958	0.0021441972661484857	0.0007972362476747276	0.006680919294494923	0.0061300639658848615	0.008299866131191432	0.0015915119363395225	0.0007938608097380259	0.0
Signaling-by-ERBB2	0.0069570477918935265	0.003303303303303303	0.007518796992481203	0.02264600715137068	0.0	0.0041741204531902205	0.00716674629718108	0.02480916030534351	0.014299332697807437	0.026620867325032202	0.008118433619866285	0.01241753977493209	0.000772499034376207	0.009674582233948988	0.0	0.012306470821754664	0.0002767017155506364	0.006611570247933884	0.005775577557755775	0.005775577557755775	0.006455234353073253	0.008152937868990722	0.006191950464396285	0.001597444089456869	0.008064516129032258	0.003336113427856547	0.0022081148219707425	0.0008210180623973727	0.006881365262868153	0.0060373216245883645	0.008549365692222834	0.0010922992900054614	0.0008174386920980927	0.0
Signaling-by-ERBB4	0.006762716847985887	0.003211678832116788	0.007309941520467836	0.021456804065499716	0.0028216704288939053	0.0	0.006855575868372943	0.023733455043359195	0.014135886912904697	0.02557755775577558	0.0077661032434901784	0.011976047904191617	0.0007451564828614009	0.009286618826509076	0.0	0.01224177505738332	0.00026961445133459155	0.0069836153639538006	0.005628517823639775	0.005628517823639775	0.0062875888463641335	0.007940854326396496	0.010150891632373114	0.0015503875968992248	0.008410428931875526	0.0032502708559046588	0.004305705059203444	0.0021344717182497333	0.006706008583690987	0.006422263848006422	0.011584051724137932	0.001064679265371307	0.0007968127490039841	0.0
Signaling-by-SCF-KIT	0.009262557890986818	0.003895184135977337	0.008871540099361249	0.07570977917981073	0.052930056710775046	0.05419029615626969	0.0	0.034569453174104335	0.0194601381042059	0.03399122807017544	0.010069225928256766	0.013448607108549471	0.0014388489208633094	0.01243640474844545	0.0	0.021204819277108433	0.00032175032175032174	0.00768	0.00670712232513574	0.00670712232513574	0.011862776530939404	0.013808606294155427	0.01157556270096463	0.02228134353175923	0.012774320340648543	0.007692307692307693	0.0025649246553382495	0.0009529860228716646	0.00799488327470419	0.007010834926704908	0.009929532351057015	0.002530844669408415	0.0009481668773704172	0.0
Signaling-by-FGFR	0.008228980322003579	0.003913198150124511	0.009269162210338681	0.07156549520766774	0.05072923272035511	0.05136334812935954	0.010773130544993664	0.0	0.019632678910702975	0.034235229155162895	0.010145846544071021	0.012130033964095099	0.0	0.01261467889908257	0.0	0.02133850630455868	0.00032310177705977385	0.007390745501285347	0.006414368184733804	0.006414368184733804	0.011912427559562138	0.013866494679135763	0.011624152405553761	0.02135468802135469	0.012824728707661954	0.007724493080141615	0.0025756600128783	0.0009569377990430622	0.00802825947334618	0.00704	0.009990331936835321	0.000952078705172961	0.000952078705172961	0.0
ERK1-ERK2-pathway	0.008415660446395901	0.004005826656955572	0.009120758847136081	0.071334214002642	0.05217965653896962	0.053500660501981503	0.009240924092409241	0.03368560105680317	0.0	0.035509736540664374	0.011228533685601057	0.013979031452820768	0.0014955134596211367	0.011827321111768185	0.0	0.02208835341365462	0.00033003300330033004	0.007548408270429931	0.006550933508024894	0.006550933508024894	0.012167050312397237	0.01382943694435298	0.011873350923482849	0.021479713603818614	0.013122476446837146	0.007889546351084813	0.002631578947368421	0.000977198697068404	0.008199409642505739	0.007191892775416803	0.009881422924901186	0.00032393909944930353	0.0009721322099805574	0.0
Signaling-by-GPCR	0.007337526205450734	0.0038287504350852765	0.005927475592747559	0.08190578158458243	0.06844919786096257	0.06898395721925134	0.03580972741849278	0.05344735435595938	0.042223409941207914	0.0	0.03687867450561197	0.011720581340834505	0.0014044943820224719	0.03225806451612903	0.02539530426449449	0.020206766917293232	0.0003169572107765452	0.007883948281299276	0.006924771797293044	0.006924771797293044	0.011363636363636364	0.012954186413902054	0.011072445428661816	0.019274746814766416	0.011597938144329897	0.00726010101010101	0.0018915510718789407	0.0009389671361502347	0.00532748354747728	0.007223618090452261	0.006347191367819739	0.00031133250311332503	0.0009342883836810962	0.0
