DAG-and-IP3-signaling	ERK1-ERK2-pathway	FasL--CD95L-signaling	Integrin-signaling	MAPK6-MAPK4-signaling	PI3K-AKT-Signaling	Signaling-by-Activin	Signaling-by-BMP	Signaling-by-EGFR	Signaling-by-ERBB2	Signaling-by-ERBB4	Signaling-by-FGFR	Signaling-by-GPCR	Signaling-by-Hedgehog	Signaling-by-Hippo	Signaling-by-Insulin-receptor	Signaling-by-Leptin	Signaling-by-MET	Signaling-by-MST1	Signaling-by-NOTCH	Signaling-by-NTRKs	Signaling-by-Nuclear-Receptors	Signaling-by-PDGF	Signaling-by-PTK6	Signaling-by-Rho-GTPases	Signaling-by-SCF-KIT	Signaling-by-TGF-beta-Receptor-Complex	Signaling-by-Type-1-Insulin-like-Growth-Factor-1-Receptor-(IGF1R)	Signaling-by-VEGF	Signaling-by-WNT	TNF-signaling	TRAIL-signaling	mTOR-signalling	p75-NTR-receptor-mediated-signalling
DAG-and-IP3-signaling	0.0	0.05444047291723948	0.019423692636072572	0.00021454623471358077	0.007912745936698032	0.023632866172025282	0.02134927412467976	0.0025439898240407037	0.1046831955922865	0.09323432343234324	0.09323432343234324	0.05261707988980716	0.05518945634266886	0.01193266567227786	0.002339927674962774	0.02865761689291101	0.006145369781733418	0.024390243902439025	0.0	0.026507054296707994	0.03112947658402204	0.011103993166773437	0.04950495049504951	0.036359677770520356	0.017106972715461237	0.05470038482682793	0.027558214056825465	0.025193798449612403	0.012396694214876033	0.031018391435629976	0.021799529814062833	0.019423692636072572	0.009154779646582926	0.0032064985036340315
ERK1-ERK2-pathway	0.0008658008658008658	0.0	0.016587259572966296	0.00017717930545712261	0.007072135785007072	0.0	0.01750663129973475	0.002105263157894737	0.057897286821705425	0.04481589147286822	0.04578488372093023	0.014534883720930232	0.02431192660550459	0.009871320289088666	0.0019352568613652356	0.0067226890756302525	0.0056130503420452555	0.007667851131475594	0.0	0.02267091746369111	0.013937282229965157	0.010442477876106195	0.00436046511627907	0.030647196682891654	0.014500537056928034	0.007507871155243401	0.022473898425057513	0.004104477611940298	0.010396361273554255	0.024750325662179766	0.018194665253488784	0.016234339156520203	0.008829242450997704	0.0033604527767951893
FasL--CD95L-signaling	0.054813773717498245	0.090014064697609	0.0	0.0061770761839396015	0.002775850104094379	0.06816584680252986	0.047883414295628035	0.004801097393689987	0.1266713581984518	0.10626319493314568	0.1055594651653765	0.0850914205344585	0.06474313863476425	0.03608605135322693	0.0061770761839396015	0.015785861358956762	0.0006858710562414266	0.024965325936199722	0.0	0.06388888888888888	0.07308503162333099	0.0013726835964310226	0.07876230661040788	0.03221288515406162	0.011011699931176875	0.07876230661040788	0.06037473976405274	0.015099519560741249	0.06394940267041462	0.11822660098522167	0.016693163751987282	0.0031821797931583136	0.0013726835964310226	0.0062413314840499305
Integrin-signaling	0.0703125	0.1689453125	0.006469500924214418	0.0	0.018467220683287166	0.09765625	0.014773776546629732	0.002770083102493075	0.271484375	0.2412109375	0.2412109375	0.1796875	0.1337890625	0.018467220683287166	0.0	0.09433962264150944	0.0046168051708217915	0.08026440037771483	0.0	0.024930747922437674	0.1162109375	0.004625346901017576	0.166015625	0.09665427509293681	0.053023255813953486	0.1669921875	0.024930747922437674	0.07728557964184732	0.109375	0.0869140625	0.0073937153419593345	0.006469500924214418	0.012950971322849213	0.006469500924214418
MAPK6-MAPK4-signaling	0.09740670461733081	0.1394169835234474	0.026119402985074626	0.0	0.0	0.11723700887198986	0.0448318804483188	0.0043076923076923075	0.17430600387346676	0.15558424790187217	0.1549386701097482	0.13624841571609633	0.10956301456618113	0.029850746268656716	0.0006153846153846154	0.014796547472256474	0.010461538461538461	0.018668326073428748	0.0	0.059850374064837904	0.12167300380228137	0.006790123456790123	0.12484157160963244	0.03667953667953668	0.027249683143219267	0.12610899873257286	0.055417185554171855	0.013563501849568433	0.1068943706514864	0.13769035532994925	0.03171641791044776	0.024253731343283583	0.004923076923076923	0.0074580484773151025
PI3K-AKT-Signaling	0.0014114326040931546	0.035228988424760944	0.017745893902208796	0.00018964536317087047	0.007568590350047304	0.0	0.018889308651303362	0.002251829611559392	0.08454957221942627	0.07171615500754906	0.07272269753397081	0.03950679416205335	0.04994054696789536	0.01055607917059378	0.002070393374741201	0.026923076923076925	0.0061902082160945416	0.02773497688751926	0.0	0.024048475667487218	0.017866129843985907	0.01020986954055587	0.030951182687468545	0.033282031550596385	0.015508328546812177	0.03397081026673377	0.024196597353497166	0.02420749279538905	0.012002824193927984	0.026148409893992933	0.019467019467019467	0.017368321691523504	0.00944822373393802	0.003785011355034065
Signaling-by-Activin	0.057065217391304345	0.08151326053042121	0.012716763005780347	0.00038284839203675346	0.008098727342846125	0.06954156954156954	0.0	0.0015349194167306216	0.13629096722621903	0.1254996003197442	0.12509992006394885	0.08502340093603744	0.06780982073265783	0.01738122827346466	0.004597701149425287	0.012687427912341407	0.006508422664624809	0.01623502126014689	0.0	0.03662420382165605	0.07173489278752436	0.011128165771297006	0.07722308892355695	0.050119331742243436	0.0022997316979685703	0.07722308892355695	0.011695906432748537	0.012687427912341407	0.05861801242236025	0.08270075908909309	0.01695568400770713	0.012716763005780347	0.0030627871362940277	0.0038550501156515036
Signaling-by-BMP	0.06440677966101695	0.09378531073446328	0.018018018018018018	0.0011261261261261261	0.01126126126126126	0.07005649717514124	0.07596371882086168	0.0	0.12768361581920903	0.11186440677966102	0.11186440677966102	0.09378531073446328	0.07796610169491526	0.03167420814479638	0.0	0.02598870056497175	0.012387387387387387	0.030508474576271188	0.0	0.04284103720405862	0.07005649717514124	0.019165727170236752	0.0847457627118644	0.028153153153153154	0.0045045045045045045	0.08587570621468926	0.09750566893424037	0.02598870056497175	0.06440677966101695	0.10317460317460317	0.0259009009009009	0.018018018018018018	0.0	0.0033783783783783786
Signaling-by-EGFR	0.0	0.0098754830399313	0.015171078114912848	0.00016196954972465177	0.004872502842293324	0.0	0.011758941695247428	0.0019261637239165329	0.0	0.0016517225106182161	0.0018885741265344666	0.011627906976744186	0.021485573971761818	0.01047880058036434	0.001770196330865787	0.004092769440654843	0.003857900659058029	0.004782237403928267	0.0	0.016205598297593715	0.00997506234413965	0.009699321047526674	0.0036535568450462067	0.001054481546572935	0.007294429708222812	0.005805203182111374	0.01602092529017492	0.003058623619371283	0.007615700058582308	0.01772002362669817	0.016642430117951204	0.014848289218850872	0.008073631519457452	0.0029116790682626984
Signaling-by-ERBB2	0.0005900865460267506	0.010015240583496626	0.015331919752079596	0.0001636929120969062	0.004924491135915955	0.0	0.01188511059755695	0.0019464720194647203	0.01413850946561227	0.0	0.0019175455417066154	0.01263341319973862	0.02197346600331675	0.009122006841505131	0.0017889087656529517	0.006185567010309278	0.0038980022738346596	0.005516290294776763	0.0	0.016865079365079364	0.012161878800587125	0.009802319882372162	0.0037045107866637613	0.0010666666666666667	0.007373889726830903	0.005884917175239756	0.016192994051553205	0.003776824034334764	0.009069400630914827	0.017949740725967292	0.016816326530612245	0.015005708693524711	0.008159268929503917	0.002942137953579601
