Entry	Entry name	Cross-reference (STRING)
Q4LEZ3	AARD_HUMAN	9606.ENSP00000367528;
Q96SE0	ABHD1_HUMAN	9606.ENSP00000326491;
Q9UGJ0	AAKG2_HUMAN	9606.ENSP00000287878;
Q9H221	ABCG8_HUMAN	9606.ENSP00000272286;
Q8IZY2	ABCA7_HUMAN	9606.ENSP00000263094;
Q8WWZ4	ABCAA_HUMAN	9606.ENSP00000269081;
Q2M3G0	ABCB5_HUMAN	9606.ENSP00000384881;
O14639	ABLM1_HUMAN	9606.ENSP00000277895;
Q9NUJ1	ABHDA_HUMAN	9606.ENSP00000273359;
P21399	ACOC_HUMAN	9606.ENSP00000309477;
Q9GZZ6	ACH10_HUMAN	9606.ENSP00000250699;
Q8WXI4	ACO11_HUMAN	9606.ENSP00000360366;
P42025	ACTY_HUMAN	9606.ENSP00000289228;
Q96HD9	ACY3_HUMAN	9606.ENSP00000255082;
O95573	ACSL3_HUMAN	9606.ENSP00000350012;
Q8NCV1	ADAD2_HUMAN	9606.ENSP00000268624;
Q99965	ADAM2_HUMAN	9606.ENSP00000265708;
Q04771	ACVR1_HUMAN	9606.ENSP00000263640;
Q08462	ADCY2_HUMAN	9606.ENSP00000342952;
Q15027	ACAP1_HUMAN	9606.ENSP00000158762;
Q7L211	ABHDD_HUMAN	9606.ENSP00000365063;
P28330	ACADL_HUMAN	9606.ENSP00000233710;
Q5QJU3	ACER2_HUMAN	9606.ENSP00000342609;
Q8N9L9	ACOT4_HUMAN	9606.ENSP00000323071;
O14734	ACOT8_HUMAN	9606.ENSP00000217455;
Q8N1Q8	ACO15_HUMAN	9606.ENSP00000357807;
Q9NUB1	ACS2L_HUMAN	9606.ENSP00000316924;
Q6P093	ADCL2_HUMAN	9606.ENSP00000348911;
Q5VUY0	ADCL3_HUMAN	9606.ENSP00000352268;
Q8NFM4	ADCY4_HUMAN	9606.ENSP00000312126;
Q13443	ADAM9_HUMAN	9606.ENSP00000419446;
O43506	ADA20_HUMAN	9606.ENSP00000256389;
Q86SJ2	AMGO2_HUMAN	9606.ENSP00000266581;
P19021	AMD_HUMAN	9606.ENSP00000306100;
Q96Q42	ALS2_HUMAN	9606.ENSP00000264276;
Q5JTC6	AMER1_HUMAN	9606.ENSP00000329117;
Q96K21	ANCHR_HUMAN	9606.ENSP00000347498;
Q8N6S4	AN13C_HUMAN	9606.ENSP00000359982;
Q8NAG6	ANKL1_HUMAN	9606.ENSP00000377971;
P03950	ANGI_HUMAN	9606.ENSP00000336762;
Q9H9E1	ANRA2_HUMAN	9606.ENSP00000296785;
Q8N6D5	ANR29_HUMAN	9606.ENSP00000468354;
P20594	ANPRB_HUMAN	9606.ENSP00000341083;
Q9P2S6	ANKY1_HUMAN	9606.ENSP00000385887;
Q5XXA6	ANO1_HUMAN	9606.ENSP00000347454;
Q9NXR5	ANR10_HUMAN	9606.ENSP00000267339;
Q9UJX4	APC5_HUMAN	9606.ENSP00000261819;
O14744	ANM5_HUMAN	9606.ENSP00000319169;
Q6P2P2	ANM9_HUMAN	9606.ENSP00000314396;
Q8IY63	AMOL1_HUMAN	9606.ENSP00000387739;
Q8N957	ANKF1_HUMAN	9606.ENSP00000321627;
A6NCL7	AN33B_HUMAN	9606.ENSP00000296657;
Q8IVF6	AN18A_HUMAN	9606.ENSP00000382610;
Q5VYY1	ANR22_HUMAN	9606.ENSP00000360998;
Q53RE8	ANR39_HUMAN	9606.ENSP00000377170;
O00203	AP3B1_HUMAN	9606.ENSP00000255194;
O00189	AP4M1_HUMAN	9606.ENSP00000352603;
Q2VPB7	AP5B1_HUMAN	9606.ENSP00000454303;
O43299	AP5Z1_HUMAN	9606.ENSP00000297562;
P05549	AP2A_HUMAN	9606.ENSP00000368924;
P59780	AP3S2_HUMAN	9606.ENSP00000338777;
P02749	APOH_HUMAN	9606.ENSP00000205948;
O95236	APOL3_HUMAN	9606.ENSP00000344577;
Q9BWW9	APOL5_HUMAN	9606.ENSP00000249044;
Q8WW43	APH1B_HUMAN	9606.ENSP00000261879;
Q0VD83	APOBR_HUMAN	9606.ENSP00000457539;
O15143	ARC1B_HUMAN	9606.ENSP00000389631;
Q8N6S5	AR6P6_HUMAN	9606.ENSP00000315357;
Q86WK7	AMGO3_HUMAN	9606.ENSP00000323096;
Q8IY45	AMN1_HUMAN	9606.ENSP00000281471;
P39687	AN32A_HUMAN	9606.ENSP00000417864;
Q8IV38	ANKY2_HUMAN	9606.ENSP00000303570;
A5PLL1	AN34B_HUMAN	9606.ENSP00000339802;
Q01432	AMPD3_HUMAN	9606.ENSP00000379802;
P16066	ANPRA_HUMAN	9606.ENSP00000357669;
O95841	ANGL1_HUMAN	9606.ENSP00000234816;
P04083	ANXA1_HUMAN	9606.ENSP00000366109;
Q92481	AP2B_HUMAN	9606.ENSP00000377265;
Q9UPM8	AP4E1_HUMAN	9606.ENSP00000261842;
Q6VUC0	AP2E_HUMAN	9606.ENSP00000362332;
Q92572	AP3S1_HUMAN	9606.ENSP00000325369;
Q9Y6Q5	AP1M2_HUMAN	9606.ENSP00000250244;
P19801	AOC1_HUMAN	9606.ENSP00000411613;
Q92624	APBP2_HUMAN	9606.ENSP00000083182;
Q06481	APLP2_HUMAN	9606.ENSP00000263574;
P27338	AOFB_HUMAN	9606.ENSP00000367309;
P06727	APOA4_HUMAN	9606.ENSP00000350425;
P08519	APOA_HUMAN	9606.ENSP00000321334;
Q96BT7	ALKB8_HUMAN	9606.ENSP00000397673;
Q9Y2J4	AMOL2_HUMAN	9606.ENSP00000424765;
Q4VCS5	AMOT_HUMAN	9606.ENSP00000361027;
Q8N6M6	AMPO_HUMAN	9606.ENSP00000364464;
P30533	AMRP_HUMAN	9606.ENSP00000421922;
Q9BZ19	ANR60_HUMAN	9606.ENSP00000396747;
E9PGG2	ANHX_HUMAN	9606.ENSP00000439513;
A6NFN9	ANKUB_HUMAN	9606.ENSP00000387907;
Q8N7Z5	ANR31_HUMAN	9606.ENSP00000274361;
Q8N283	ANR35_HUMAN	9606.ENSP00000347802;
P16157	ANK1_HUMAN	9606.ENSP00000265709;
O76027	ANXA9_HUMAN	9606.ENSP00000357943;
Q01484	ANK2_HUMAN	9606.ENSP00000349588;
Q13367	AP3B2_HUMAN	9606.ENSP00000440984;
O60678	ANM3_HUMAN	9606.ENSP00000331879;
Q8NI99	ANGL6_HUMAN	9606.ENSP00000253109;
Q06278	AOXA_HUMAN	9606.ENSP00000363832;
Q96DE5	APC16_HUMAN	9606.ENSP00000477760;
P21397	AOFA_HUMAN	9606.ENSP00000340684;
Q3SXY8	AR13B_HUMAN	9606.ENSP00000377769;
Q99217	AMELX_HUMAN	9606.ENSP00000370088;
Q6Q4G3	AMPQ_HUMAN	9606.ENSP00000350541;
P04746	AMYP_HUMAN	9606.ENSP00000481450;
Q9H6X2	ANTR1_HUMAN	9606.ENSP00000301945;
Q12955	ANK3_HUMAN	9606.ENSP00000280772;
Q9HCE9	ANO8_HUMAN	9606.ENSP00000159087;
Q9Y587	AP4S1_HUMAN	9606.ENSP00000216366;
Q7Z6R9	AP2D_HUMAN	9606.ENSP00000008391;
P60006	APC15_HUMAN	9606.ENSP00000439403;
P53677	AP3M2_HUMAN	9606.ENSP00000428787;
P08758	ANXA5_HUMAN	9606.ENSP00000296511;
Q8IW19	APLF_HUMAN	9606.ENSP00000307004;
P02655	APOC2_HUMAN	9606.ENSP00000466775;
O95445	APOM_HUMAN	9606.ENSP00000365081;
P0C6C1	AN34C_HUMAN	9606.ENSP00000401089;
A6QL64	AN36A_HUMAN	9606.ENSP00000391950;
Q9NQW6	ANLN_HUMAN	9606.ENSP00000265748;
A2A2Z9	AN18B_HUMAN	9606.ENSP00000290943;
P54802	ANAG_HUMAN	9606.ENSP00000225927;
Q5TZF3	ANR45_HUMAN	9606.ENSP00000331268;
O60641	AP180_HUMAN	9606.ENSP00000400459;
Q92754	AP2C_HUMAN	9606.ENSP00000201031;
Q96CW1	AP2M1_HUMAN	9606.ENSP00000292807;
P07355	ANXA2_HUMAN	9606.ENSP00000346032;
O75843	AP1G2_HUMAN	9606.ENSP00000312442;
Q99767	APBA2_HUMAN	9606.ENSP00000453293;
Q13790	APOF_HUMAN	9606.ENSP00000381250;
P35414	APJ_HUMAN	9606.ENSP00000475344;
Q9BWW8	APOL6_HUMAN	9606.ENSP00000386280;
P50583	AP4A_HUMAN	9606.ENSP00000368455;
P02649	APOE_HUMAN	9606.ENSP00000252486;
Q13520	AQP6_HUMAN	9606.ENSP00000477688;
Q6DCA0	AMERL_HUMAN	9606.ENSP00000272647;
Q86WK6	AMGO1_HUMAN	9606.ENSP00000358880;
Q400G9	AMZ1_HUMAN	9606.ENSP00000308149;
Q86W34	AMZ2_HUMAN	9606.ENSP00000352976;
P19961	AMY2B_HUMAN	9606.ENSP00000354610;
Q5VTE6	ANGE2_HUMAN	9606.ENSP00000355929;
O15123	ANGP2_HUMAN	9606.ENSP00000314897;
Q9UKU9	ANGL2_HUMAN	9606.ENSP00000362524;
O15084	ANR28_HUMAN	9606.ENSP00000382379;
Q9NW15	ANO10_HUMAN	9606.ENSP00000292246;
